import time: self [us] | cumulative | imported package
import time:       521 |      19185 |             numpy.matrixlib
import time:       952 |        952 |               numpy.lib._histograms_impl
import time:      2198 |       3150 |             numpy.lib._function_base_impl
import time:      1190 |      23524 |           numpy.lib._index_tricks_impl
import time:       950 |      27461 |         numpy.lib._arraypad_impl
import time:      1191 |       1191 |         numpy.lib._arraysetops_impl
import time:       597 |        597 |         numpy.lib._arrayterator_impl
import time:       705 |        705 |         numpy.lib._nanfunctions_impl
import time:      2512 |       2512 |                   _wmi
import time:      1417 |       3928 |                 platform
import time:       512 |       4440 |               numpy.lib._utils_impl
import time:       528 |       4968 |             numpy.lib._format_impl
import time:       727 |       5695 |           numpy.lib.format
import time:       591 |        591 |           numpy.lib._datasource
import time:       680 |        680 |           numpy.lib._iotools
import time:       884 |       7849 |         numpy.lib._npyio_impl
import time:       511 |        511 |             numpy.lib._ufunclike_impl
import time:       625 |       1136 |           numpy.lib._type_check_impl
import time:       840 |       1975 |         numpy.lib._polynomial_impl
import time:       695 |        695 |         numpy.lib._shape_base_impl
import time:       475 |        475 |         numpy.lib._version
import time:       664 |        664 |         numpy.lib.introspect
import time:       575 |        575 |         numpy.lib.mixins
import time:       395 |        395 |         numpy.lib.npyio
import time:       543 |        543 |           numpy.lib._scimath_impl
import time:       391 |        933 |         numpy.lib.scimath
import time:       444 |        444 |         numpy.lib.stride_tricks
import time:       939 |      44893 |       numpy.lib
import time:       476 |        476 |       numpy._array_api_info
import time:      2118 |     129289 |     numpy
import time:       870 |        870 |         numpy.core._utils
import time:       751 |       1621 |       numpy.core
import time:       446 |       2066 |     numpy.core.multiarray
import time:      1128 |       1128 |     copy
import time:       480 |        480 |     cv2.load_config_py3
import time:       283 |        283 |     cv2.version
import time:       427 |        427 |     cv2.misc.version
import time:     24616 |     159457 |   cv2
import time:       848 |        848 |     __future__
import time:       983 |        983 |     PIL._version
import time:      1822 |       3652 |   PIL
import time:        53 |         53 |     atexit
import time:      1280 |       1280 |       traceback
import time:        39 |         39 |         _string
import time:      1238 |       1277 |       string
import time:      1504 |       1504 |       threading
import time:      2273 |       6332 |     logging
import time:        84 |         84 |         zlib
import time:      1095 |       1095 |           _compression
import time:      1394 |       1394 |           _bz2
import time:      1085 |       3573 |         bz2
import time:      1212 |       1212 |           _lzma
import time:      1159 |       2371 |         lzma
import time:      1267 |       7294 |       shutil
import time:        43 |         43 |           _bisect
import time:       955 |        998 |         bisect
import time:        33 |         33 |         _random
import time:        31 |         31 |         _sha2
import time:      1204 |       2264 |       random
import time:      1235 |      10792 |     tempfile
import time:      3360 |       3360 |     PIL.ExifTags
import time:       801 |        801 |     PIL.ImageMode
import time:      1048 |       1048 |     PIL.TiffTags
import time:       536 |        536 |     PIL._binary
import time:       415 |        415 |     PIL._deprecate
import time:       707 |        707 |     PIL._util
import time:       833 |        833 |     defusedxml
import time:      1269 |       1269 |     PIL._imaging
import time:      2251 |      28391 |   PIL.Image
import time:        88 |         88 |       array
import time:       576 |        576 |       PIL.GimpGradientFile
import time:       495 |        495 |       PIL.GimpPaletteFile
import time:       574 |        574 |       PIL.ImageColor
import time:       435 |        435 |       PIL.PaletteFile
import time:       566 |       2732 |     PIL.ImagePalette
import time:       662 |       3393 |   PIL.ImageOps
import time:      1063 |       1063 |     glob
import time:      2915 |       2915 |       _socket
import time:      3162 |       6077 |     typing_extensions
import time:      1650 |       1650 |     torch._utils
import time:       575 |        575 |         torch._strobelight
import time:        59 |         59 |             _locale
import time:      1441 |       1500 |           locale
import time:      1319 |       1319 |           signal
import time:       786 |        786 |           fcntl
import time:        53 |         53 |           msvcrt
import time:      1423 |       5079 |         subprocess
import time:      1198 |       1198 |             select
import time:      1137 |       2335 |           selectors
import time:      1728 |       4063 |         socket
import time:        54 |         54 |             gc
import time:      1186 |       1239 |           timeit
import time:       888 |       2127 |         torch._strobelight.cli_function_profiler
import time:       996 |      12838 |       torch._strobelight.compile_time_profiler
import time:       705 |      13542 |     torch._utils_internal
import time:       455 |        455 |           torch._vendor
import time:       933 |       1388 |         torch._vendor.packaging
import time:       445 |        445 |         torch._vendor.packaging._structures
import time:      2393 |       4225 |       torch._vendor.packaging.version
import time:       537 |        537 |       torch.version
import time:       526 |       5287 |     torch.torch_version
import time:       121 |        121 |     torch._rocm_init
import time:      2747 |       2747 |     sysconfig
import time:     24999 |      24999 |     torch._C
import time:       419 |        419 |       torch._namedtensor_internals
import time:      1212 |       1212 |       torch.overrides
import time:      1487 |       3117 |     torch._tensor
import time:       532 |        532 |       torch.types
import time:       855 |       1387 |     torch.storage
import time:       858 |        858 |       torch.amp.autocast_mode
import time:       740 |        740 |       torch.amp.grad_scaler
import time:       580 |       2177 |     torch.amp
import time:       415 |        415 |     torch.random
import time:        39 |         39 |           _heapq
import time:       717 |        755 |         heapq
import time:      1191 |       1946 |       difflib
import time:       766 |        766 |         pwd
import time:       663 |        663 |         grp
import time:      1538 |       2966 |       tarfile
import time:       533 |        533 |       torch._weights_only_unpickler
import time:       543 |        543 |       torch._sources
import time:      1664 |       7651 |     torch.serialization
import time:      1181 |       1181 |       dataclasses
import time:      1343 |       2524 |     torch._tensor_str
import time:       637 |        637 |       torch.cuda._device_limits
import time:       424 |        424 |       torch.cuda.gds
import time:       501 |        501 |       torch.cuda._utils
import time:       632 |        632 |       torch.cuda.graphs
import time:       391 |        391 |       torch.cuda.green_contexts
import time:       520 |        520 |       torch.cuda.streams
import time:       895 |        895 |       pynvml
import time:        61 |         61 |             binascii
import time:       805 |        866 |           base64
import time:       539 |       1405 |         torch.cuda._memory_viz
import time:       803 |       2208 |       torch.cuda.memory
import time:       438 |        438 |       torch.cuda.random
import time:       756 |        756 |         torch.cuda.amp.autocast_mode
import time:       709 |        709 |             importlib._abc
import time:        89 |        797 |           importlib.util
import time:       365 |       1162 |         torch.cuda.amp.common
import time:       376 |        376 |         torch.cuda.amp.grad_scaler
import time:       545 |       2838 |       torch.cuda.amp
import time:       418 |        418 |       torch.cuda.jiterator
import time:       351 |        351 |       torch.cuda.nvtx
import time:       401 |        401 |       torch.cuda.profiler
import time:       335 |        335 |       torch.cuda.sparse
import time:       792 |        792 |           concurrent
import time:      1366 |       1366 |           concurrent.futures._base
import time:      1007 |       3163 |         concurrent.futures
import time:       561 |        561 |             multiprocessing.process
import time:       744 |        744 |             multiprocessing.reduction
import time:       918 |       2222 |           multiprocessing.context
import time:       949 |       3170 |         multiprocessing
import time:       465 |       6798 |       torch.cuda.tunable
import time:      3404 |      21183 |     torch.cuda
import time:       539 |        539 |         torch.sparse._semi_structured_conversions
import time:       543 |        543 |         torch.sparse._semi_structured_ops
import time:       938 |       2019 |       torch.sparse.semi_structured
import time:       587 |       2606 |     torch.sparse
import time:       509 |        509 |     torch._compile
import time:       635 |        635 |     torch._VF
import time:       788 |        788 |           torch.nn.parameter
import time:      1161 |       1161 |               torch._prims_common
import time:      1048 |       1048 |                   torch.utils.backcompat
import time:       979 |        979 |                   torch.utils.collect_env
import time:      1227 |       1227 |                         _queue
import time:       904 |       2130 |                       queue
import time:       413 |        413 |                                 torch.distributed._pycute.typing
import time:       645 |       1058 |                               torch.distributed._pycute.int_tuple
import time:       726 |        726 |                               torch.distributed._pycute.layout
import time:       399 |       2183 |                             torch.distributed._pycute
import time:      1025 |       3207 |                           torch.distributed._mesh_layout
import time:       616 |        616 |                           torch.utils._typing_utils
import time:       521 |        521 |                                   unittest.util
import time:       913 |       1433 |                                 unittest.result
import time:      1052 |       1052 |                                   pprint
import time:      1245 |       2297 |                                 unittest.case
import time:       665 |        665 |                                 unittest.suite
import time:       808 |        808 |                                 unittest.loader
import time:       443 |        443 |                                     unittest.signals
import time:       552 |        995 |                                   unittest.runner
import time:       632 |       1627 |                                 unittest.main
import time:       931 |       7759 |                               unittest
import time:      1943 |       1943 |                                       _ssl
import time:      2092 |       4035 |                                     ssl
import time:       758 |        758 |                                     asyncio.constants
import time:       569 |        569 |                                     asyncio.coroutines
import time:       482 |        482 |                                       asyncio.format_helpers
import time:       561 |        561 |                                         asyncio.base_futures
import time:       540 |        540 |                                         asyncio.exceptions
import time:       467 |        467 |                                         asyncio.base_tasks
import time:      1209 |       2776 |                                       _asyncio
import time:       862 |       4120 |                                     asyncio.events
import time:       610 |        610 |                                     asyncio.futures
import time:       676 |        676 |                                     asyncio.protocols
import time:       545 |        545 |                                       asyncio.transports
import time:       499 |        499 |                                       asyncio.log
import time:       982 |       2025 |                                     asyncio.sslproto
import time:       439 |        439 |                                         asyncio.mixins
import time:       636 |       1075 |                                       asyncio.locks
import time:       635 |        635 |                                         asyncio.timeouts
import time:       668 |       1302 |                                       asyncio.tasks
import time:       563 |       2939 |                                     asyncio.staggered
import time:       688 |        688 |                                     asyncio.trsock
import time:      1554 |      17970 |                                   asyncio.base_events
import time:       792 |        792 |                                   asyncio.runners
import time:       610 |        610 |                                   asyncio.queues
import time:       667 |        667 |                                   asyncio.streams
import time:       607 |        607 |                                   asyncio.subprocess
import time:       513 |        513 |                                   asyncio.taskgroups
import time:       564 |        564 |                                   asyncio.threads
import time:      2332 |       2332 |                                     _overlapped
import time:       892 |        892 |                                     asyncio.base_subprocess
import time:      1083 |       1083 |                                     asyncio.proactor_events
import time:      1330 |       1330 |                                     asyncio.selector_events
import time:      1028 |       1028 |                                     asyncio.windows_utils
import time:      1196 |       7859 |                                   asyncio.windows_events
import time:      1282 |      30860 |                                 asyncio
import time:      1728 |       1728 |                                 pkgutil
import time:      2120 |      34708 |                               unittest.mock
import time:      1492 |      43957 |                             torch.utils._config_module
import time:       852 |      44809 |                           torch.distributed.config
import time:       602 |        602 |                             torch.monitor
import time:       653 |        653 |                               torch.distributed.logging_handlers
import time:       624 |       1277 |                             torch.distributed.c10d_logger
import time:       421 |        421 |                             torch.distributed.constants
import time:       468 |        468 |                             torch.distributed.rendezvous
import time:       750 |        750 |                               torchcomms
import time:        23 |        772 |                             torchcomms._comms
import time:      1750 |       5287 |                           torch.distributed.distributed_c10d
import time:      1543 |      55461 |                         torch.distributed.device_mesh
import time:       612 |        612 |                         torch.distributed.remote_device
import time:      5049 |      61122 |                       torch.distributed
