import time: self [us] | cumulative | imported package
import time:      1093 |       3542 |                       torch.ao.nn.quantized.dynamic.modules
import time:       793 |       4335 |                     torch.ao.nn.quantized.dynamic
import time:       700 |       5034 |                   torch.ao.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       925 |       5959 |                 torch.ao.nn.intrinsic.quantized.dynamic.modules
import time:       645 |      23012 |               torch.ao.nn.intrinsic.quantized.dynamic
import time:       638 |      23649 |             torch.nn.intrinsic.quantized.dynamic.modules.linear_relu
import time:       832 |      24481 |           torch.nn.intrinsic.quantized.dynamic.modules
import time:       795 |      25275 |         torch.nn.intrinsic.quantized.dynamic
import time:       670 |        670 |           torch.nn.intrinsic.quantized.modules.bn_relu
import time:       441 |        441 |           torch.nn.intrinsic.quantized.modules.conv_relu
import time:       391 |        391 |           torch.nn.intrinsic.quantized.modules.linear_relu
import time:       961 |       2462 |         torch.nn.intrinsic.quantized.modules
import time:       810 |      28546 |       torch.nn.intrinsic.quantized
import time:       523 |      46345 |     torch.nn.intrinsic
import time:       742 |        742 |                     torch.ao.nn.qat.dynamic.modules.linear
import time:       889 |       1630 |                   torch.ao.nn.qat.dynamic.modules
import time:       484 |       2114 |                 torch.ao.nn.qat.dynamic
import time:        24 |       2138 |               torch.ao.nn.qat.dynamic.modules
import time:        27 |       2164 |             torch.ao.nn.qat.dynamic.modules.linear
import time:       830 |       2994 |           torch.nn.qat.dynamic.modules.linear
import time:       677 |       3670 |         torch.nn.qat.dynamic.modules
import time:       630 |       4300 |       torch.nn.qat.dynamic
import time:       776 |        776 |         torch.nn.qat.modules.conv
import time:       683 |        683 |         torch.nn.qat.modules.embedding_ops
import time:       695 |        695 |         torch.nn.qat.modules.linear
import time:       802 |       2955 |       torch.nn.qat.modules
import time:       676 |       7930 |     torch.nn.qat
import time:       675 |        675 |       torch.nn.quantizable.modules
import time:       489 |       1164 |     torch.nn.quantizable
import time:       916 |        916 |       torch.nn.quantized.dynamic
import time:       707 |        707 |       torch.nn.quantized.functional
import time:       604 |        604 |       torch.nn.quantized.modules
import time:       995 |       3221 |     torch.nn.quantized
import time:       530 |        530 |     torch._size_docs
import time:       480 |        480 |     torch._storage_docs
import time:      1353 |       1353 |     torch._tensor_docs
import time:       526 |        526 |                   torch.ao.quantization.quant_type
import time:       742 |       1268 |                 torch.ao.quantization.utils
import time:      3912 |       5179 |               torch.ao.quantization.observer
import time:      1114 |       6293 |             torch.ao.quantization.fake_quantize
import time:       486 |        486 |               torch.ao.quantization.fuser_method_mappings
import time:       613 |       1098 |             torch.ao.quantization.fuse_modules
import time:      1045 |       1045 |             torch.ao.quantization.qconfig
import time:       624 |        624 |             torch.ao.quantization.qconfig_mapping
import time:       561 |        561 |                     torch.ao.nn.quantized.reference.modules.utils
import time:      1019 |       1580 |                   torch.ao.nn.quantized.reference.modules.conv
import time:       638 |        638 |                   torch.ao.nn.quantized.reference.modules.linear
import time:       738 |        738 |                   torch.ao.nn.quantized.reference.modules.rnn
import time:       501 |        501 |                   torch.ao.nn.quantized.reference.modules.sparse
import time:      1222 |       4678 |                 torch.ao.nn.quantized.reference.modules
import time:       525 |       5203 |               torch.ao.nn.quantized.reference
import time:       551 |        551 |                       torch.ao.nn.sparse.quantized.linear
import time:       432 |        432 |                       torch.ao.nn.sparse.quantized.utils
import time:       960 |       1942 |                     torch.ao.nn.sparse.quantized.dynamic.linear
import time:       834 |       2776 |                   torch.ao.nn.sparse.quantized.dynamic
import time:       670 |       3446 |                 torch.ao.nn.sparse.quantized
import time:       481 |       3926 |               torch.ao.nn.sparse
import time:       531 |        531 |               torch.ao.quantization.stubs
import time:       912 |      10571 |             torch.ao.quantization.quantization_mappings
import time:       776 |        776 |             torch.ao.quantization.quantize
import time:       518 |        518 |             torch.ao.quantization.quantize_jit
import time:       747 |      21670 |           torch.ao.quantization
import time:        30 |      21699 |         torch.ao.quantization.fake_quantize
import time:       934 |      22633 |       torch.quantization.fake_quantize
import time:       482 |        482 |       torch.quantization.fuse_modules
import time:       623 |        623 |       torch.quantization.fuser_method_mappings
import time:       427 |        427 |       torch.quantization.observer
import time:       489 |        489 |       torch.quantization.qconfig
import time:       656 |        656 |       torch.quantization.quant_type
import time:       404 |        404 |       torch.quantization.quantization_mappings
import time:       412 |        412 |       torch.quantization.quantize
import time:       418 |        418 |       torch.quantization.quantize_jit
import time:       539 |        539 |       torch.quantization.stubs
import time:       781 |      27858 |     torch.quantization
import time:       425 |        425 |     torch.quasirandom
import time:       429 |        429 |     torch.multiprocessing._atfork
import time:       671 |        671 |     torch._lobpcg
import time:       496 |        496 |         torch.masked._docs
import time:       580 |        580 |               torch.masked.maskedtensor.core
import time:      3557 |       4137 |             torch.masked.maskedtensor.binary
import time:      1315 |       1315 |             torch.masked.maskedtensor.passthrough
import time:       629 |        629 |               torch.masked.maskedtensor.creation
import time:      1355 |       1984 |             torch.masked.maskedtensor.reductions
import time:      3373 |       3373 |             torch.masked.maskedtensor.unary
import time:       782 |      11589 |           torch.masked.maskedtensor
import time:        26 |      11615 |         torch.masked.maskedtensor.core
import time:      1322 |      13432 |       torch.masked._ops
import time:       524 |      13955 |     torch.masked
import time:       792 |        792 |     torch.utils.dlpack
import time:       403 |        403 |                   torch._dispatch
import time:       797 |       1199 |                 torch._dispatch.python
import time:      1942 |       1942 |                       torch._library.fake_profile
import time:       685 |        685 |                         torch.utils._mode_utils
import time:      5249 |       5934 |                       torch._subclasses.meta_utils
import time:       574 |        574 |                       torch.utils._stats
import time:      2736 |       2736 |                         torch.fx.experimental.sym_node
import time:      2425 |       5160 |                       torch._subclasses._fake_tensor_utils
import time:       509 |        509 |                         torch._custom_op
import time:      4917 |       5426 |                       torch._subclasses.fake_impls
import time:      8273 |      27307 |                     torch._subclasses.fake_tensor
import time:       655 |        655 |                     torch._subclasses.fake_utils
import time:       752 |      28713 |                   torch._subclasses
import time:        22 |      28735 |                 torch._subclasses.meta_utils
import time:       766 |      30699 |               torch.fx.passes.shape_prop
import time:       770 |        770 |               pydot
import time:       875 |      32343 |             torch.fx.passes.graph_drawer
import time:       650 |        650 |             torch.fx.passes.graph_manipulation
import time:       988 |        988 |                     torch.fx.passes.utils.matcher_utils
import time:       659 |       1646 |                   torch.fx.passes.utils.common
import time:       509 |       2155 |                 torch.fx.passes.utils
import time:      1185 |       1185 |                 torch.fx.passes.tools_common
import time:      1159 |       4499 |               torch.fx.passes.split_utils
import time:      1124 |       5623 |             torch.fx.passes.net_min_base
import time:       755 |        755 |             torch.fx.passes.operator_support
import time:       559 |        559 |             torch.fx.passes.param_fetch
import time:       622 |        622 |             torch.fx.passes.regional_inductor
import time:      1226 |       1226 |             torch.fx.passes.reinplace
import time:       448 |        448 |               torch.fx._utils
import time:      1482 |       1482 |                 torch._subclasses.functional_tensor
import time:       986 |        986 |                 torch.utils._thunk
import time:       479 |        479 |                 torch.fx.experimental._backward_state
import time:      2532 |       5478 |               torch.fx.experimental.proxy_tensor
import time:       811 |       6736 |             torch.fx.passes.runtime_assert
import time:       834 |        834 |             torch.fx.passes.split_module
import time:      1381 |       1381 |             torch.fx.passes.splitter_base
import time:       618 |      51341 |           torch.fx.passes
import time:       598 |        598 |             torch.fx.passes.infra.pass_base
import time:       953 |       1551 |           torch.fx.passes.infra.pass_manager
import time:       563 |      53454 |         torch.fx.passes.infra
import time:        23 |      53477 |       torch.fx.passes.infra.pass_base
import time:      1733 |       1733 |       torch.export.custom_ops
import time:       456 |        456 |       torch.export._state_dict_utils
import time:       366 |        366 |             torch.export._tree_utils
import time:      3478 |       3478 |             torch.export.graph_signature
import time:       514 |        514 |                   torch._custom_op.autograd
import time:      1764 |       2278 |                 torch._custom_op.impl
import time:       406 |       2683 |               torch._custom_ops
import time:      1157 |       1157 |               torch._export.utils
import time:      2281 |       2281 |                           torch._higher_order_ops.schema
import time:      1501 |       3781 |                         torch._higher_order_ops.utils
import time:      3227 |       7008 |                       torch._higher_order_ops.auto_functionalize
import time:       634 |       7641 |                     torch._higher_order_ops.base_hop
import time:      1279 |       8919 |                   torch._higher_order_ops._invoke_quant
import time:       785 |        785 |                   torch._higher_order_ops.aoti_call_delegate
import time:       880 |        880 |                   torch._higher_order_ops.associative_scan
import time:      1083 |       1083 |                   torch._higher_order_ops.cond
import time:      1184 |       1184 |                       torch._higher_order_ops.flat_apply
import time:      1128 |       2311 |                     torch._higher_order_ops.invoke_leaf_function
import time:       583 |        583 |                     torch._higher_order_ops.print
import time:       431 |        431 |                         torch._functorch._aot_autograd
import time:      1288 |       1718 |                       torch._functorch._aot_autograd.utils
import time:       624 |       2342 |                     torch._higher_order_ops.torchbind
import time:      1148 |       6383 |                   torch._higher_order_ops.effects
import time:       753 |        753 |                   torch._higher_order_ops.executorch_call_delegate
import time:       415 |        415 |                         torch.testing._internal
import time:       941 |       1356 |                       torch.testing._internal.logging_tensor
import time:      1414 |       2770 |                     torch.utils.checkpoint
import time:      1399 |       4168 |                   torch._higher_order_ops.flex_attention
import time:       767 |        767 |                   torch._higher_order_ops.foreach_map
import time:       672 |        672 |                   torch._higher_order_ops.hints_wrap
import time:    220081 |     220081 |                     torch.utils._debug_mode
import time:      2267 |     222348 |                   torch._higher_order_ops.invoke_subgraph
import time:      1292 |       1292 |                   torch._higher_order_ops.local_map
import time:       872 |        872 |                   torch._higher_order_ops.map
import time:      1111 |       1111 |                   torch._higher_order_ops.out_dtype
import time:       672 |        672 |                   torch._higher_order_ops.run_const_graph
import time:       752 |        752 |                     torch._higher_order_ops.partitioner
import time:      1148 |       1900 |                   torch._higher_order_ops.scan
import time:       965 |        965 |                   torch._higher_order_ops.strict_mode
import time:      1160 |       1160 |                   torch._higher_order_ops.while_loop
import time:       988 |        988 |                   torch._higher_order_ops.wrap
import time:       801 |     256513 |                 torch._higher_order_ops
import time:        28 |     256541 |               torch._higher_order_ops.flat_apply
import time:       984 |     261363 |             torch._export.wrappers
import time:       940 |        940 |             torch._export.config
import time:       896 |     267042 |           torch._export
import time:        31 |     267072 |         torch._export.utils
import time:       860 |     267932 |       torch.export.decomp_utils
import time:      1590 |       1590 |           torch._export.verifier
import time:      1896 |       3485 |         torch.export.exported_program
import time:      2632 |       6117 |       torch.export.dynamic_shapes
import time:       648 |        648 |         torch.export._remove_effect_tokens_pass
import time:      2254 |       2902 |       torch.export.unflatten
import time:       801 |     333414 |     torch.export
import time:       473 |        473 |       torch._functorch.batch_norm_replacement
import time:       764 |        764 |         torch.fx.experimental.const_fold
import time:      1180 |       1943 |       torch._functorch.eager_transforms
import time:       623 |        623 |       torch._functorch.functional_call
import time:       940 |       3978 |     torch.func
import time:      1257 |       1257 |     torch.distributed._meta_registrations
import time:       553 |        553 |               torch.utils._content_store
import time:       704 |       1256 |             torch._prims.debug_prims
import time:       933 |        933 |             torch._prims.rng_prims
import time:      1073 |       1073 |             torch._prims_common.wrappers
import time:    176424 |     179685 |           torch._prims
import time:     64903 |     244588 |         torch._decomp.decompositions
import time:      1513 |       1513 |           torch._refs._conversions
import time:      4648 |       4648 |           torch._refs.fft
import time:      2807 |       2807 |           torch._refs.linalg
import time:       558 |        558 |             torch._refs.nn
import time:      5177 |       5735 |           torch._refs.nn.functional
import time:      3193 |       3193 |           torch._refs.special
import time:     39992 |      57885 |         torch._refs
import time:       902 |     303374 |       torch._decomp
import time:     82241 |     385614 |     torch._meta_registrations
import time:      2023 |       2023 |       torch.compiler.config
import time:      1168 |       3191 |     torch.compiler
import time:    413581 |    1790942 |   torch
import time:      1408 |       1408 |       packaging
import time:      2223 |       2223 |       packaging.version
import time:      1323 |       1323 |           huggingface_hub
import time:       952 |       2274 |         huggingface_hub.constants
import time:       254 |        254 |           diffusers.dependency_versions_table
import time:       313 |        313 |           diffusers.utils.versions
import time:      4621 |       5187 |         diffusers.dependency_versions_check
import time:      1208 |       1208 |                   urllib3.exceptions
import time:       529 |        529 |                           urllib3.util.timeout
import time:       887 |       1415 |                         urllib3.util.connection
import time:       286 |        286 |                           urllib3.util.util
import time:       866 |        866 |                           brotlicffi
import time:       726 |        726 |                           brotli
import time:       719 |        719 |                           backports
import time:       841 |       3436 |                         urllib3.util.request
import time:       454 |        454 |                         urllib3.util.response
import time:       692 |        692 |                         urllib3.util.retry
import time:      1001 |       1001 |                           hmac
import time:     17538 |      17538 |                           urllib3.util.url
import time:       646 |        646 |                           urllib3.util.ssltransport
import time:       589 |      19773 |                         urllib3.util.ssl_
import time:       352 |        352 |                         urllib3.util.wait
import time:       440 |      26559 |                       urllib3.util
import time:        34 |      26593 |                     urllib3.util.connection
import time:       919 |      27511 |                   urllib3._base_connection
import time:       821 |        821 |                   urllib3._collections
import time:       345 |        345 |                   urllib3._version
import time:      1094 |       1094 |                           mimetypes
import time:       424 |       1517 |                         urllib3.fields
import time:       417 |       1934 |                       urllib3.filepost
import time:      1189 |       1189 |                         brotlicffi
import time:       808 |        808 |                         brotli
import time:       517 |        517 |                           urllib3.http2
import time:       580 |        580 |                           urllib3.http2.probe
import time:       350 |        350 |                           urllib3.util.ssl_match_hostname
import time:      1299 |       2745 |                         urllib3.connection
import time:      1206 |       1206 |                         backports
import time:       875 |       6822 |                       urllib3.response
import time:       580 |       9335 |                     urllib3._request_methods
import time:       353 |        353 |                     urllib3.util.proxy
import time:       644 |      10331 |                   urllib3.connectionpool
import time:      1250 |       1250 |                   urllib3.poolmanager
import time:      1402 |      42865 |                 urllib3
import time:      2426 |       2426 |                           charset_normalizer.constant
import time:       740 |        740 |                           charset_normalizer.utils
import time:      1387 |       4553 |                         charset_normalizer.md
import time:      3166 |       7719 |                       charset_normalizer.cd
import time:       607 |        607 |                       charset_normalizer.models
import time:        41 |         41 |                       _multibytecodec
import time:      1255 |       9620 |                     charset_normalizer.api
import time:       502 |        502 |                     charset_normalizer.legacy
import time:       312 |        312 |                     charset_normalizer.version
import time:       953 |        953 |                     simplejson
import time:      2660 |       2660 |                     http.cookiejar
import time:      1471 |       1471 |                     http.cookies
import time:      2757 |      18272 |                   requests.compat
import time:       840 |      19111 |                 requests.exceptions
import time:       963 |        963 |                 chardet
import time:       482 |        482 |                       idna.idnadata
import time:       419 |        419 |                       idna.intranges
import time:      1407 |       2307 |                     idna.core
import time:       481 |        481 |                     idna.package_data
import time:      1234 |       4022 |                   idna
import time:       914 |       4935 |                 requests.packages
import time:       841 |        841 |                       certifi.core
import time:      1173 |       2014 |                     certifi
import time:       305 |       2319 |                   requests.certs
import time:       305 |        305 |                   requests.__version__
import time:       489 |        489 |                   requests._internal_utils
import time:       482 |        482 |                   requests._types
import time:       612 |        612 |                   requests.cookies
import time:       481 |        481 |                   requests.structures
import time:       556 |        556 |                       importlib.resources._itertools
import time:       912 |       1467 |                     importlib.resources.readers
import time:       611 |       2078 |                   importlib.readers
import time:      1038 |       7801 |                 requests.utils
import time:       433 |        433 |                       requests.auth
import time:      1102 |       1102 |                           stringprep
import time:       718 |       1820 |                         encodings.idna
import time:       575 |        575 |                         requests.hooks
import time:       722 |        722 |                         requests.status_codes
import time:       729 |       3845 |                       requests.models
import time:       486 |        486 |                         urllib3.contrib
import time:       835 |        835 |                         socks
import time:       596 |       1917 |                       urllib3.contrib.socks
import time:       621 |       6814 |                     requests.adapters
import time:       727 |       7540 |                   requests.sessions
import time:       402 |       7942 |                 requests.api
import time:      1151 |      84766 |               requests
import time:       721 |      85487 |             huggingface_hub.errors
import time:       419 |        419 |                 tqdm.autonotebook
import time:       800 |        800 |                 tqdm.asyncio
import time:       474 |       1693 |               tqdm.auto
import time:       947 |       2639 |             huggingface_hub.utils.tqdm
import time:      2062 |       2062 |               configparser
import time:     26001 |      26001 |               huggingface_hub.utils._runtime
import time:       532 |      28593 |             huggingface_hub.utils._auth
import time:       396 |        396 |             huggingface_hub.utils._cache_assets
import time:       697 |        697 |                 huggingface_hub.commands
import time:       658 |       1355 |               huggingface_hub.commands._cli_utils
import time:       377 |        377 |               huggingface_hub.utils.logging
import time:      4220 |       5952 |             huggingface_hub.utils._cache_manager
import time:       421 |        421 |             huggingface_hub.utils._chunk_utils
import time:       344 |        344 |             huggingface_hub.utils._datetime
import time:       332 |        332 |             huggingface_hub.utils._experimental
import time:       765 |        765 |                 yaml.error
import time:       580 |        580 |                 yaml.tokens
import time:       521 |        521 |                 yaml.events
import time:       492 |        492 |                 yaml.nodes
import time:      3715 |       3715 |                   yaml.reader
import time:       828 |        828 |                   yaml.scanner
import time:       592 |        592 |                   yaml.parser
import time:       642 |        642 |                   yaml.composer
import time:      1043 |       1043 |                   yaml.constructor
import time:      1652 |       1652 |                   yaml.resolver
import time:       579 |       9049 |                 yaml.loader
import time:       683 |        683 |                   yaml.emitter
import time:       507 |        507 |                   yaml.serializer
import time:       606 |        606 |                   yaml.representer
import time:       670 |       2466 |                 yaml.dumper
import time:      1200 |       1200 |                   yaml._yaml
import time:       650 |       1849 |                 yaml.cyaml
import time:      1428 |      17147 |               yaml
import time:       897 |        897 |                   secrets
import time:       497 |        497 |                   filelock._error
import time:       413 |        413 |                   filelock._util
import time:      3582 |       5388 |                 filelock._api
import time:       910 |        910 |                   filelock._windows
import time:       837 |       1746 |                 filelock._descriptor
import time:       589 |        589 |                   filelock._identity
import time:       413 |        413 |                       filelock._soft_protocol
import time:       491 |        903 |                     filelock._soft
import time:       725 |       1628 |                   filelock._marker
import time:      1916 |       4132 |                 filelock._lease
import time:      2395 |       2395 |                       _sqlite3
import time:       942 |       3337 |                     sqlite3.dbapi2
import time:      1083 |       4420 |                   sqlite3
import time:      1744 |       1744 |                   filelock._async
import time:      1033 |       1033 |                   filelock._read_write
import time:       802 |       7998 |                 filelock._async_read_write
import time:      2681 |       2681 |                     filelock._soft_rw._sync
import time:       766 |       3446 |                   filelock._soft_rw._async
import time:       859 |       4305 |                 filelock._soft_rw
import time:      4376 |       4376 |                 filelock._strict
import time:       617 |        617 |                 filelock._unix
import time:      1686 |       1686 |                 filelock.asyncio
import time:       793 |        793 |                 filelock.version
import time:      1691 |      32727 |               filelock
import time:       465 |      50339 |             huggingface_hub.utils._fixes
import time:       376 |        376 |               huggingface_hub.utils._subprocess
import time:       509 |        885 |             huggingface_hub.utils._git_credential
import time:       373 |        373 |               huggingface_hub.utils._deprecation
import time:       357 |        357 |                 huggingface_hub.utils._typing
import time:       487 |        844 |               huggingface_hub.utils._validators
import time:       491 |       1707 |             huggingface_hub.utils._headers
import time:       358 |        358 |             huggingface_hub.utils._hf_folder
import time:      1210 |       1210 |               shlex
import time:       393 |        393 |               huggingface_hub.utils._lfs
import time:      1042 |       2644 |             huggingface_hub.utils._http
import time:       380 |        380 |             huggingface_hub.utils._pagination
import time:       543 |        543 |             huggingface_hub.utils._paths
import time:      1414 |       1414 |             huggingface_hub.utils._safetensors
import time:       483 |        483 |             huggingface_hub.utils._telemetry
import time:      1800 |       1800 |             huggingface_hub.utils._xet
import time:       778 |     185487 |           huggingface_hub.utils
import time:       573 |        573 |           diffusers.utils.logging
import time:     67383 |     253441 |         diffusers.utils.import_utils
import time:      5867 |     266769 |       diffusers.utils.constants
import time:       582 |        582 |       diffusers.utils.deprecation_utils
import time:       321 |        321 |       diffusers.utils.doc_utils
import time:      1741 |       1741 |         huggingface_hub._local_folder
import time:       299 |        299 |           huggingface_hub.utils.insecure_hashlib
import time:       434 |        732 |         huggingface_hub.utils.sha
import time:       700 |        700 |           tqdm.contrib
import time:       994 |       1694 |         tqdm.contrib.concurrent
import time:      1018 |       1018 |           huggingface_hub.lfs
import time:      1836 |       2853 |         huggingface_hub._commit_api
import time:       427 |        427 |             huggingface_hub.inference
import time:       343 |        343 |                 huggingface_hub.inference._generated
import time:       781 |        781 |                   huggingface_hub.inference._generated.types.base
import time:      1416 |       2197 |                 huggingface_hub.inference._generated.types.audio_classification
import time:      1062 |       1062 |                 huggingface_hub.inference._generated.types.audio_to_audio
import time:      2368 |       2368 |                 huggingface_hub.inference._generated.types.automatic_speech_recognition
import time:     11489 |      11489 |                 huggingface_hub.inference._generated.types.chat_completion
import time:      1009 |       1009 |                 huggingface_hub.inference._generated.types.depth_estimation
import time:      1727 |       1727 |                 huggingface_hub.inference._generated.types.document_question_answering
import time:       879 |        879 |                 huggingface_hub.inference._generated.types.feature_extraction
import time:      1422 |       1422 |                 huggingface_hub.inference._generated.types.fill_mask
import time:      1205 |       1205 |                 huggingface_hub.inference._generated.types.image_classification
import time:      1224 |       1224 |                 huggingface_hub.inference._generated.types.image_segmentation
import time:      1436 |       1436 |                 huggingface_hub.inference._generated.types.image_to_image
import time:      1929 |       1929 |                 huggingface_hub.inference._generated.types.image_to_text
import time:      1627 |       1627 |                 huggingface_hub.inference._generated.types.object_detection
import time:      1532 |       1532 |                 huggingface_hub.inference._generated.types.question_answering
import time:      1500 |       1500 |                 huggingface_hub.inference._generated.types.sentence_similarity
import time:      1546 |       1546 |                 huggingface_hub.inference._generated.types.summarization
import time:      1485 |       1485 |                 huggingface_hub.inference._generated.types.table_question_answering
import time:      1173 |       1173 |                 huggingface_hub.inference._generated.types.text2text_generation
import time:      1102 |       1102 |                 huggingface_hub.inference._generated.types.text_classification
import time:      5405 |       5405 |                 huggingface_hub.inference._generated.types.text_generation
import time:      2142 |       2142 |                 huggingface_hub.inference._generated.types.text_to_audio
import time:      1209 |       1209 |                 huggingface_hub.inference._generated.types.text_to_image
import time:      1715 |       1715 |                 huggingface_hub.inference._generated.types.text_to_speech
import time:      1125 |       1125 |                 huggingface_hub.inference._generated.types.text_to_video
import time:      1565 |       1565 |                 huggingface_hub.inference._generated.types.token_classification
import time:      1404 |       1404 |                 huggingface_hub.inference._generated.types.translation
import time:      1202 |       1202 |                 huggingface_hub.inference._generated.types.video_classification
import time:      1221 |       1221 |                 huggingface_hub.inference._generated.types.visual_question_answering
import time:      1284 |       1284 |                 huggingface_hub.inference._generated.types.zero_shot_classification
import time:      1175 |       1175 |                 huggingface_hub.inference._generated.types.zero_shot_image_classification
import time:      1389 |       1389 |                 huggingface_hub.inference._generated.types.zero_shot_object_detection
import time:      1474 |      60551 |               huggingface_hub.inference._generated.types
import time:      1488 |      62038 |             huggingface_hub.inference._common
import time:       691 |        691 |               huggingface_hub.inference._providers._common
import time:       378 |        378 |               huggingface_hub.inference._providers.black_forest_labs
import time:       310 |        310 |               huggingface_hub.inference._providers.cerebras
import time:       321 |        321 |               huggingface_hub.inference._providers.cohere
import time:       630 |        630 |               huggingface_hub.inference._providers.fal_ai
import time:       321 |        321 |               huggingface_hub.inference._providers.fireworks_ai
import time:       583 |        583 |               huggingface_hub.inference._providers.hf_inference
import time:       511 |        511 |               huggingface_hub.inference._providers.hyperbolic
import time:       348 |        348 |               huggingface_hub.inference._providers.nebius
import time:       350 |        350 |               huggingface_hub.inference._providers.novita
import time:       329 |        329 |               huggingface_hub.inference._providers.openai
import time:       322 |        322 |               huggingface_hub.inference._providers.replicate
import time:       309 |        309 |               huggingface_hub.inference._providers.sambanova
import time:       389 |        389 |               huggingface_hub.inference._providers.together
import time:       881 |       6666 |             huggingface_hub.inference._providers
import time:      1970 |      71099 |           huggingface_hub.inference._client
import time:      1359 |       1359 |           huggingface_hub.inference._generated._async_client
import time:      1543 |      74000 |         huggingface_hub._inference_endpoints
import time:      1570 |       1570 |         huggingface_hub._space_api
import time:       885 |        885 |         huggingface_hub._upload_large_folder
import time:      2754 |       2754 |         huggingface_hub.community
import time:      1786 |       1786 |         huggingface_hub.repocard_data
import time:       443 |        443 |         huggingface_hub.utils.endpoint_helpers
import time:     17734 |     106188 |       diffusers.utils.dynamic_modules_utils
import time:       609 |        609 |       diffusers.utils.export_utils
import time:      2563 |       2563 |       diffusers.utils.hub_utils
import time:       533 |        533 |       diffusers.utils.loading_utils
import time:       383 |        383 |       diffusers.utils.outputs
import time:       402 |        402 |       diffusers.utils.peft_utils
import time:       379 |        379 |       diffusers.utils.pil_utils
import time:       502 |        502 |       diffusers.utils.state_dict_utils
import time:       903 |     383759 |     diffusers.utils
import time:       316 |        316 |     diffusers.utils.dummy_torch_and_torchsde_objects
import time:       294 |        294 |     diffusers.utils.dummy_torch_and_transformers_and_k_diffusion_objects
import time:       378 |        378 |     diffusers.utils.dummy_torch_and_transformers_and_sentencepiece_objects
import time:       310 |        310 |     diffusers.utils.dummy_torch_and_librosa_objects
import time:       256 |        256 |     diffusers.utils.dummy_transformers_and_torch_and_note_seq_objects
import time:       551 |        551 |     diffusers.utils.dummy_flax_objects
import time:       437 |        437 |     diffusers.utils.dummy_flax_and_transformers_objects
import time:       339 |        339 |     diffusers.utils.dummy_note_seq_objects
import time:      2387 |     389022 |   diffusers
import time:       329 |        329 |       transformers.dependency_versions_table
import time:      1043 |       1043 |           transformers.utils.backbone_utils
import time:       549 |        549 |               transformers.utils.logging
import time:     87697 |      88246 |             transformers.utils.import_utils
import time:       983 |        983 |               jinja2.bccache
import time:      1353 |       1353 |                   markupsafe._speedups
import time:      1603 |       2955 |                 markupsafe
import time:      1753 |       1753 |                   jinja2.utils
import time:      2076 |       3829 |                 jinja2.nodes
import time:       721 |        721 |                   jinja2.exceptions
import time:       516 |        516 |                     jinja2.visitor
import time:      1717 |       2233 |                   jinja2.idtracking
import time:       569 |        569 |                   jinja2.optimizer
import time:      1533 |       5053 |                 jinja2.compiler
import time:       609 |        609 |                     jinja2.async_utils
import time:      1394 |       1394 |                     jinja2.runtime
import time:      1705 |       3707 |                   jinja2.filters
import time:       609 |        609 |                   jinja2.tests
import time:       511 |       4826 |                 jinja2.defaults
import time:      1035 |       1035 |                   jinja2._identifier
import time:      1892 |       2926 |                 jinja2.lexer
import time:      1156 |       1156 |                 jinja2.parser
import time:      1864 |      22607 |               jinja2.environment
import time:      1180 |       1180 |               jinja2.loaders
import time:      1520 |      26289 |             jinja2
import time:      1283 |       1283 |             jinja2.ext
import time:       806 |        806 |             jinja2.sandbox
import time:      2939 |     119561 |           transformers.utils.chat_template_utils
import time:       613 |        613 |           transformers.utils.constants
import time:       503 |        503 |           transformers.utils.doc
import time:      1073 |       1073 |           transformers.utils.generic
import time:      1135 |       1135 |           transformers.utils.hub
import time:       351 |        351 |           transformers.utils.peft_utils
import time:       690 |     124965 |         transformers.utils
import time:       305 |     125269 |       transformers.utils.versions
import time:     17163 |     142761 |     transformers.dependency_versions_check
import time:       701 |        701 |     transformers.utils.dummy_sentencepiece_objects
import time:       370 |        370 |     transformers.utils.dummy_sentencepiece_and_tokenizers_objects
import time:       351 |        351 |     transformers.utils.dummy_tensorflow_text_objects
import time:       323 |        323 |     transformers.utils.dummy_keras_nlp_objects
import time:      3873 |       3873 |     transformers.utils.dummy_tf_objects
import time:       536 |        536 |     transformers.utils.dummy_essentia_and_librosa_and_pretty_midi_and_scipy_and_torch_objects
import time:       344 |        344 |     transformers.utils.dummy_torchaudio_objects
import time:      1508 |       1508 |     transformers.utils.dummy_flax_objects
import time:      4038 |     154802 |   transformers
import time:      3555 |       3555 |   transformers.models.albert
import time:      1587 |       1587 |   transformers.models.align
import time:      1853 |       1853 |   transformers.models.altclip
import time:      2303 |       2303 |   transformers.models.aria
import time:      1240 |       1240 |   transformers.models.audio_spectrogram_transformer
import time:       584 |        584 |   transformers.models.auto
import time:       418 |        418 |   transformers.models.autoformer
import time:      1558 |       1558 |   transformers.models.bamba
import time:      1702 |       1702 |   transformers.models.bark
import time:      3023 |       3023 |   transformers.models.bart
import time:      1001 |       1001 |   transformers.models.barthez
import time:       904 |        904 |   transformers.models.bartpho
import time:      2185 |       2185 |   transformers.models.beit
import time:      3457 |       3457 |   transformers.models.bert
import time:      1257 |       1257 |   transformers.models.bert_generation
import time:       885 |        885 |   transformers.models.bert_japanese
import time:       846 |        846 |   transformers.models.bertweet
import time:      3058 |       3058 |   transformers.models.big_bird
import time:      1620 |       1620 |   transformers.models.bigbird_pegasus
