backbone,variant,training_seed,threshold,hq_id,identity,location,missing_pixels,condition,full_face_lpips,effective_fp_fraction,effective_fn_fraction,hole_mae,hole_psnr,visible_mae,missed_mae,overcovered_mae,true_fraction,mask_fp_fraction,mask_fn_fraction
lama,generic,29,0.65,20832,4516,eye_center,1966,accurate,0.02251977100968361,0.002197265625,0.0003204345703125,0.15702928602695465,12.716828377650245,0.00010127832501893863,,,0.029998779296875,0.0,0.0
lama,generic,29,0.65,20832,4516,eye_center,1966,under,0.005049468018114567,0.003509521484375,0.0,0.071360744535923,19.14597002723629,0.0001582851546118036,0.06366758793592453,,0.029998779296875,0.0,0.0059967041015625
lama,generic,29,0.65,20832,4516,eye_center,1966,over,0.01991557516157627,0.002777099609375,0.000213623046875,0.13667364418506622,13.110255902915952,0.00010968129936372861,,0.013318627141416073,0.029998779296875,0.0059967041015625,0.0
lama,generic,29,0.65,20832,4516,eye_center,1966,mixed,0.01186161395162344,0.0035858154296875,9.1552734375e-05,0.09419364482164383,16.985062961530474,0.00013821307220496237,0.06849096715450287,0.016335831955075264,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,generic,29,0.65,20832,4516,mouth_center,1966,accurate,0.017735732719302177,0.002685546875,0.0001983642578125,0.1289355307817459,15.012674564918312,7.334329711738974e-05,,,0.029998779296875,0.0,0.0
lama,generic,29,0.65,20832,4516,mouth_center,1966,under,0.012220781296491623,0.003814697265625,1.52587890625e-05,0.10438396036624908,17.147550025240253,0.00013959775969851762,0.063132643699646,,0.029998779296875,0.0,0.0059967041015625
lama,generic,29,0.65,20832,4516,mouth_center,1966,over,0.017316322773694992,0.003204345703125,1.52587890625e-05,0.11291956156492233,16.032073414862296,9.189204138237983e-05,,0.010079784318804741,0.029998779296875,0.0059967041015625,0.0
lama,generic,29,0.65,20832,4516,mouth_center,1966,mixed,0.01291390135884285,0.0039215087890625,0.0,0.09864659607410431,17.39401594131791,0.00013379871961660683,0.05823393911123276,0.01515214890241623,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,generic,29,0.65,20832,4516,upper_image,1966,accurate,0.025060318410396576,0.0041046142578125,3.0517578125e-05,0.08377668261528015,17.938535429564034,0.0002979728451464325,,,0.029998779296875,0.0,0.0
lama,generic,29,0.65,20832,4516,upper_image,1966,under,0.007484211586415768,0.00347900390625,3.0517578125e-05,0.08330345898866653,17.792203387172744,0.00019256499945186079,0.06946396082639694,,0.029998779296875,0.0,0.0059967041015625
lama,generic,29,0.65,20832,4516,upper_image,1966,over,0.006722549442201853,0.0041046142578125,0.0,0.07609044015407562,18.541285462415782,0.00027370473253540695,,0.027917390689253807,0.029998779296875,0.0059967041015625,0.0
lama,generic,29,0.65,20832,4516,upper_image,1966,mixed,0.005895298905670643,0.0035247802734375,0.0,0.0764927789568901,18.509437871723172,0.00014191033551469445,0.06019291281700134,0.019353676587343216,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,generic,29,0.65,20832,4516,eye_center,3932,accurate,0.039953507483005524,0.00177001953125,0.000213623046875,0.14389215409755707,13.97974925393277,6.587650568690151e-05,,,0.05999755859375,0.0,0.0
lama,generic,29,0.65,20832,4516,eye_center,3932,under,0.036931995302438736,0.0016326904296875,9.1552734375e-05,0.13470230996608734,14.294718022880993,6.633996235905215e-05,0.10620006918907166,,0.05999755859375,0.0,0.011993408203125
