backbone,variant,training_seed,threshold,hq_id,identity,location,missing_pixels,condition,full_face_lpips,effective_fp_fraction,effective_fn_fraction,hole_mae,hole_psnr,visible_mae,missed_mae,overcovered_mae,true_fraction,mask_fp_fraction,mask_fn_fraction
lama,preservation_weighted,43,0.5,20832,4516,eye_center,1966,accurate,0.028950020670890808,0.0036163330078125,0.0004425048828125,0.17386363446712494,11.677495244093457,0.00022000477474648505,,,0.029998779296875,0.0,0.0
lama,preservation_weighted,43,0.5,20832,4516,eye_center,1966,under,0.026604246348142624,0.002960205078125,0.0006103515625,0.16324147582054138,12.157892592271855,0.00017687107902020216,0.13066372275352478,,0.029998779296875,0.0,0.0059967041015625
lama,preservation_weighted,43,0.5,20832,4516,eye_center,1966,over,0.017462419345974922,0.0029754638671875,0.0001068115234375,0.10847844928503036,15.635065527567438,0.00013121486699674278,,0.013839521445333958,0.029998779296875,0.0059967041015625,0.0
lama,preservation_weighted,43,0.5,20832,4516,eye_center,1966,mixed,0.024045156314969063,0.001678466796875,0.000152587890625,0.1266656517982483,13.801780701100645,7.469402771675959e-05,0.12166377156972885,0.008430575020611286,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,preservation_weighted,43,0.5,20832,4516,mouth_center,1966,accurate,0.0250098779797554,0.0023651123046875,0.00048828125,0.18341970443725586,12.2644213527019,6.151641719043255e-05,,,0.029998779296875,0.0,0.0
lama,preservation_weighted,43,0.5,20832,4516,mouth_center,1966,under,0.018924452364444733,0.00164794921875,0.000732421875,0.1421598196029663,14.210341274267828,5.582930680247955e-05,0.13069213926792145,,0.029998779296875,0.0,0.0059967041015625
lama,preservation_weighted,43,0.5,20832,4516,mouth_center,1966,over,0.014599278569221497,0.00244140625,0.00030517578125,0.12884080410003662,15.07973849914915,6.711621244903654e-05,,0.009077442809939384,0.029998779296875,0.0059967041015625,0.0
lama,preservation_weighted,43,0.5,20832,4516,mouth_center,1966,mixed,0.015853701159358025,0.0016326904296875,0.0004119873046875,0.12655675411224365,15.103248240080164,5.6827393564162776e-05,0.11720678210258484,0.007407606579363346,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,preservation_weighted,43,0.5,20832,4516,upper_image,1966,accurate,0.03528335317969322,0.0020599365234375,0.0003204345703125,0.15205255150794983,13.008623451958599,7.360373274423182e-05,,,0.029998779296875,0.0,0.0
lama,preservation_weighted,43,0.5,20832,4516,upper_image,1966,under,0.039140939712524414,0.0017242431640625,0.0003814697265625,0.15685658156871796,12.376813707922505,5.830536611028947e-05,0.17532141506671906,,0.029998779296875,0.0,0.0059967041015625
lama,preservation_weighted,43,0.5,20832,4516,upper_image,1966,over,0.028648188337683678,0.002166748046875,0.0002288818359375,0.12265637516975403,14.252753522990956,8.113340300042182e-05,,0.009948896244168282,0.029998779296875,0.0059967041015625,0.0
lama,preservation_weighted,43,0.5,20832,4516,upper_image,1966,mixed,0.04494122415781021,0.0017852783203125,0.0002899169921875,0.17636021971702576,11.847317076925865,7.641289266757667e-05,0.173845574259758,0.009456661529839039,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,preservation_weighted,43,0.5,20832,4516,eye_center,3932,accurate,0.05175475403666496,0.003570556640625,0.000274658203125,0.1664125919342041,12.731099962227422,0.00017177811241708696,,,0.05999755859375,0.0,0.0
lama,preservation_weighted,43,0.5,20832,4516,eye_center,3932,under,0.04596225544810295,0.00189208984375,0.00018310546875,0.14886705577373505,13.911627176655834,9.068568760994822e-05,0.1085435152053833,,0.05999755859375,0.0,0.011993408203125
lama,preservation_weighted,43,0.5,20832,4516,eye_center,3932,over,0.037530168890953064,0.0024871826171875,0.0001373291015625,0.12379491329193115,15.293272381413875,0.00010602781549096107,,0.007310181390494108,0.05999755859375,0.011993408203125,0.0
lama,preservation_weighted,43,0.5,20832,4516,eye_center,3932,mixed,0.06263044476509094,0.0014801025390625,0.0004119873046875,0.19912846386432648,11.605067811659758,6.35190517641604e-05,0.11775647848844528,0.00439999857917428,0.05999755859375,0.011993408203125,0.011993408203125
lama,preservation_weighted,43,0.5,20832,4516,mouth_center,3932,accurate,0.0386924222111702,0.00299072265625,0.0001983642578125,0.18181487917900085,12.38396174908327,8.770832209847867e-05,,,0.05999755859375,0.0,0.0
lama,preservation_weighted,43,0.5,20832,4516,mouth_center,3932,under,0.05257745832204819,0.0013580322265625,0.0003662109375,0.1972736418247223,11.576384803733735,3.690383891807869e-05,0.12804439663887024,,0.05999755859375,0.0,0.011993408203125
lama,preservation_weighted,43,0.5,20832,4516,mouth_center,3932,over,0.04744067043066025,0.0020294189453125,0.00018310546875,0.16616111993789673,12.94585453072461,6.496745481854305e-05,,0.004768657963722944,0.05999755859375,0.011993408203125,0.0
lama,preservation_weighted,43,0.5,20832,4516,mouth_center,3932,mixed,0.06405286490917206,0.0016326904296875,0.0005340576171875,0.25777214765548706,9.451231540559249,5.344641976989806e-05,0.18417392671108246,0.004068456124514341,0.05999755859375,0.011993408203125,0.011993408203125
lama,preservation_weighted,43,0.5,20832,4516,upper_image,3932,accurate,0.05230816826224327,0.0037841796875,0.000640869140625,0.15170300006866455,13.261842797399447,0.00010493204172234982,,,0.05999755859375,0.0,0.0
