backbone,variant,training_seed,threshold,hq_id,identity,location,missing_pixels,condition,full_face_lpips,effective_fp_fraction,effective_fn_fraction,hole_mae,hole_psnr,visible_mae,missed_mae,overcovered_mae,true_fraction,mask_fp_fraction,mask_fn_fraction
lama,preservation_weighted,17,0.35,20832,4516,eye_center,1966,accurate,0.013398431241512299,0.0026397705078125,9.1552734375e-05,0.09579584002494812,16.88927825672239,0.0001565500278957188,,,0.029998779296875,0.0,0.0
lama,preservation_weighted,17,0.35,20832,4516,eye_center,1966,under,0.02409832738339901,0.0024871826171875,9.1552734375e-05,0.11995147913694382,14.722298357334015,0.0001427382812835276,0.12424863129854202,,0.029998779296875,0.0,0.0059967041015625
lama,preservation_weighted,17,0.35,20832,4516,eye_center,1966,over,0.013223092071712017,0.0024261474609375,6.103515625e-05,0.09060181677341461,17.27164541955993,0.0001564405974932015,,0.017518799751996994,0.029998779296875,0.0059967041015625,0.0
lama,preservation_weighted,17,0.35,20832,4516,eye_center,1966,mixed,0.010029198601841927,0.0024261474609375,6.103515625e-05,0.09528016299009323,17.064996565110928,0.0001278591516893357,0.10176632553339005,0.01461231242865324,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,preservation_weighted,17,0.35,20832,4516,mouth_center,1966,accurate,0.019941650331020355,0.0014190673828125,0.0001373291015625,0.17919202148914337,12.397762364363176,4.89928679598961e-05,,,0.029998779296875,0.0,0.0
lama,preservation_weighted,17,0.35,20832,4516,mouth_center,1966,under,0.0208818968385458,0.002044677734375,0.0001068115234375,0.13266877830028534,14.788351705207434,8.408418216276914e-05,0.11312635987997055,,0.029998779296875,0.0,0.0059967041015625
lama,preservation_weighted,17,0.35,20832,4516,mouth_center,1966,over,0.02074718475341797,0.001556396484375,0.000152587890625,0.18322646617889404,12.268299029851502,5.2714047342306e-05,,0.006986281368881464,0.029998779296875,0.0059967041015625,0.0
lama,preservation_weighted,17,0.35,20832,4516,mouth_center,1966,mixed,0.016064025461673737,0.002044677734375,1.52587890625e-05,0.11502502858638763,16.238043521320392,8.021851681405678e-05,0.08993063867092133,0.009638500399887562,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,preservation_weighted,17,0.35,20832,4516,upper_image,1966,accurate,0.06169048324227333,0.001556396484375,0.0008544921875,0.23802626132965088,9.804142870924498,9.3059592472855e-05,,,0.029998779296875,0.0,0.0
lama,preservation_weighted,17,0.35,20832,4516,upper_image,1966,under,0.05207902565598488,0.002288818359375,0.0003662109375,0.20381352305412292,10.884280098264217,0.00014933827333152294,0.20887377858161926,,0.029998779296875,0.0,0.0059967041015625
lama,preservation_weighted,17,0.35,20832,4516,upper_image,1966,over,0.05600089579820633,0.00152587890625,0.000762939453125,0.22249439358711243,10.173808239639449,0.0001000727279460989,,0.0119784539565444,0.029998779296875,0.0059967041015625,0.0
lama,preservation_weighted,17,0.35,20832,4516,upper_image,1966,mixed,0.04972667992115021,0.0017242431640625,0.0003662109375,0.17669957876205444,11.797680355399034,8.595022518420592e-05,0.17035934329032898,0.012281938455998898,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,preservation_weighted,17,0.35,20832,4516,eye_center,3932,accurate,0.04143723472952843,0.002227783203125,0.000274658203125,0.14571769535541534,14.11148705788494,8.039650856517255e-05,,,0.05999755859375,0.0,0.0
lama,preservation_weighted,17,0.35,20832,4516,eye_center,3932,under,0.04795173555612564,0.0021820068359375,0.0001373291015625,0.14875227212905884,13.725037919550696,7.107669807737693e-05,0.09634016454219818,,0.05999755859375,0.0,0.011993408203125
lama,preservation_weighted,17,0.35,20832,4516,eye_center,3932,over,0.037064988166093826,0.0019989013671875,0.0002593994140625,0.13095176219940186,14.899338632137578,5.430189048638567e-05,,0.0042097787372767925,0.05999755859375,0.011993408203125,0.0
lama,preservation_weighted,17,0.35,20832,4516,eye_center,3932,mixed,0.02477024868130684,0.002197265625,0.0001373291015625,0.11503882706165314,15.756861229795842,6.123331695562229e-05,0.07131503522396088,0.004730552434921265,0.05999755859375,0.011993408203125,0.011993408203125
lama,preservation_weighted,17,0.35,20832,4516,mouth_center,3932,accurate,0.043368689715862274,0.001953125,0.0002899169921875,0.16919997334480286,13.256900063091344,5.4888721933821216e-05,,,0.05999755859375,0.0,0.0
lama,preservation_weighted,17,0.35,20832,4516,mouth_center,3932,under,0.047271110117435455,0.00201416015625,9.1552734375e-05,0.16975699365139008,12.856036758406912,5.4056486987974495e-05,0.08965746313333511,,0.05999755859375,0.0,0.011993408203125
lama,preservation_weighted,17,0.35,20832,4516,mouth_center,3932,over,0.03325448930263519,0.001800537109375,0.00018310546875,0.15325087308883667,14.28407970420679,4.188065940979868e-05,,0.003228507237508893,0.05999755859375,0.011993408203125,0.0
lama,preservation_weighted,17,0.35,20832,4516,mouth_center,3932,mixed,0.02783428318798542,0.0022430419921875,3.0517578125e-05,0.14815238118171692,14.560656106763838,5.7201890740543604e-05,0.06650864332914352,0.004368870053440332,0.05999755859375,0.011993408203125,0.011993408203125
lama,preservation_weighted,17,0.35,20832,4516,upper_image,3932,accurate,0.06351722776889801,0.00396728515625,0.000396728515625,0.17273397743701935,12.827379944326083,0.0002896409423556179,,,0.05999755859375,0.0,0.0
lama,preservation_weighted,17,0.35,20832,4516,upper_image,3932,under,0.047429159283638,0.0029449462890625,0.0002288818359375,0.10663948208093643,16.200029732762914,0.00019715675443876535,0.08244966715574265,,0.05999755859375,0.0,0.011993408203125
lama,preservation_weighted,17,0.35,20832,4516,upper_image,3932,over,0.06632950901985168,0.0030364990234375,0.00048828125,0.18251380324363708,12.237164514993324,0.0001845505175879225,,0.005498209968209267,0.05999755859375,0.011993408203125,0.0
lama,preservation_weighted,17,0.35,20832,4516,upper_image,3932,mixed,0.059450093656778336,0.0022735595703125,0.000213623046875,0.15643714368343353,13.256546296292253,7.724230090389028e-05,0.09851667284965515,0.005826320964843035,0.05999755859375,0.011993408203125,0.011993408203125
lama,preservation_weighted,17,0.35,20832,4516,eye_center,6554,accurate,0.10091773420572281,0.0016326904296875,0.001922607421875,0.20123276114463806,11.313510998539378,6.182329525472596e-05,,,0.100006103515625,0.0,0.0
lama,preservation_weighted,17,0.35,20832,4516,eye_center,6554,under,0.09952416270971298,0.00201416015625,0.000885009765625,0.18816454708576202,11.858579691973489,5.9035934100393206e-05,0.16287705302238464,,0.100006103515625,0.0,0.0200042724609375
lama,preservation_weighted,17,0.35,20832,4516,eye_center,6554,over,0.088841512799263,0.002044677734375,0.0026702880859375,0.16884185373783112,12.699299475967166,4.9279220547759905e-05,,0.002209382364526391,0.100006103515625,0.0200042724609375,0.0
lama,preservation_weighted,17,0.35,20832,4516,eye_center,6554,mixed,0.07152813673019409,0.0025787353515625,0.001007080078125,0.1499754637479782,13.656246998517483,8.311393321491778e-05,0.10927542299032211,0.0037333995569497347,0.100006103515625,0.0200042724609375,0.0200042724609375
lama,preservation_weighted,17,0.35,20832,4516,mouth_center,6554,accurate,0.0832546055316925,0.0013885498046875,0.00634765625,0.2211901843547821,10.844062604676177,6.798598769819364e-05,,,0.100006103515625,0.0,0.0
lama,preservation_weighted,17,0.35,20832,4516,mouth_center,6554,under,0.06849628686904907,0.0017852783203125,0.0050506591796875,0.18828846514225006,12.400962834047146,7.632125925738364e-05,0.150956392288208,,0.100006103515625,0.0,0.0200042724609375
lama,preservation_weighted,17,0.35,20832,4516,mouth_center,6554,over,0.0552518256008625,0.00177001953125,0.00494384765625,0.15983060002326965,13.5659682089411,6.223175296327099e-05,,0.002793249674141407,0.100006103515625,0.0200042724609375,0.0
