backbone,variant,training_seed,threshold,hq_id,identity,location,missing_pixels,condition,full_face_lpips,effective_fp_fraction,effective_fn_fraction,hole_mae,hole_psnr,visible_mae,missed_mae,overcovered_mae,true_fraction,mask_fp_fraction,mask_fn_fraction
lama,generic,43,0.5,20832,4516,eye_center,1966,accurate,0.030384795740246773,0.002410888671875,0.0002288818359375,0.14283031225204468,13.244915110175128,0.00010346435010433197,,,0.029998779296875,0.0,0.0
lama,generic,43,0.5,20832,4516,eye_center,1966,under,0.0064875781536102295,0.0031890869140625,1.52587890625e-05,0.07496146857738495,18.752324980408424,0.00015311954484786838,0.06145153194665909,,0.029998779296875,0.0,0.0059967041015625
lama,generic,43,0.5,20832,4516,eye_center,1966,over,0.029728908091783524,0.0020751953125,0.0003662109375,0.1489531695842743,13.547314614741534,9.191976278088987e-05,,0.014439111575484276,0.029998779296875,0.0059967041015625,0.0
lama,generic,43,0.5,20832,4516,eye_center,1966,mixed,0.024712035432457924,0.0015869140625,0.0002288818359375,0.13365013897418976,14.317583937836938,5.871609755558893e-05,0.09361585229635239,0.009016698226332664,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,generic,43,0.5,20832,4516,mouth_center,1966,accurate,0.024689041078090668,0.0014801025390625,0.0003509521484375,0.18349303305149078,12.354289629949761,3.756779187824577e-05,,,0.029998779296875,0.0,0.0
lama,generic,43,0.5,20832,4516,mouth_center,1966,under,0.01791791059076786,0.0020751953125,0.0002288818359375,0.11746449768543243,15.692438011524995,5.5787571909604594e-05,0.09703266620635986,,0.029998779296875,0.0,0.0059967041015625
lama,generic,43,0.5,20832,4516,mouth_center,1966,over,0.01961628906428814,0.001861572265625,0.0001220703125,0.1557532697916031,13.791490038799276,6.763862620573491e-05,,0.01052127592265606,0.029998779296875,0.0059967041015625,0.0
lama,generic,43,0.5,20832,4516,mouth_center,1966,mixed,0.017711345106363297,0.001678466796875,7.62939453125e-05,0.1498420685529709,14.037621187945675,4.268644261173904e-05,0.10412230342626572,0.006027389317750931,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,generic,43,0.5,20832,4516,upper_image,1966,accurate,0.046972185373306274,0.00146484375,0.000274658203125,0.16365692019462585,12.393799413021414,3.7331865314627066e-05,,,0.029998779296875,0.0,0.0
lama,generic,43,0.5,20832,4516,upper_image,1966,under,0.027268709614872932,0.001953125,0.0001373291015625,0.1269003003835678,14.146775494599186,6.798548565711826e-05,0.11802586913108826,,0.029998779296875,0.0,0.0059967041015625
lama,generic,43,0.5,20832,4516,upper_image,1966,over,0.0421760268509388,0.0018463134765625,0.0001373291015625,0.14692071080207825,12.851003802890315,7.758723222650588e-05,,0.011326448991894722,0.029998779296875,0.0059967041015625,0.0
lama,generic,43,0.5,20832,4516,upper_image,1966,mixed,0.04355045408010483,0.002288818359375,0.000152587890625,0.15437506139278412,12.738667956795817,0.0001092463280656375,0.1440630853176117,0.014074033126235008,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,generic,43,0.5,20832,4516,eye_center,3932,accurate,0.04919089376926422,0.003570556640625,0.000244140625,0.1536847949028015,13.411392598446664,0.0001462633954361081,,,0.05999755859375,0.0,0.0
lama,generic,43,0.5,20832,4516,eye_center,3932,under,0.03626003861427307,0.0026702880859375,6.103515625e-05,0.1160639300942421,15.891127646870888,9.374740329803899e-05,0.07541871815919876,,0.05999755859375,0.0,0.011993408203125
lama,generic,43,0.5,20832,4516,eye_center,3932,over,0.04287471994757652,0.002410888671875,0.0001983642578125,0.12463162839412689,14.882377385158016,9.888576460070908e-05,,0.006458149757236242,0.05999755859375,0.011993408203125,0.0
lama,generic,43,0.5,20832,4516,eye_center,3932,mixed,0.05972013249993324,0.0017852783203125,0.0004119873046875,0.17721788585186005,12.179592003532726,6.417184340534732e-05,0.10891105234622955,0.00419493205845356,0.05999755859375,0.011993408203125,0.011993408203125
lama,generic,43,0.5,20832,4516,mouth_center,3932,accurate,0.0508430153131485,0.0028076171875,0.0002593994140625,0.21273323893547058,11.154725109132862,8.870147576089948e-05,,,0.05999755859375,0.0,0.0
lama,generic,43,0.5,20832,4516,mouth_center,3932,under,0.03541214019060135,0.00201416015625,0.0001068115234375,0.15493710339069366,13.472133580733477,5.3210766054689884e-05,0.10737120360136032,,0.05999755859375,0.0,0.011993408203125
lama,generic,43,0.5,20832,4516,mouth_center,3932,over,0.041491568088531494,0.0022125244140625,0.0002288818359375,0.17865920066833496,12.754353343954941,6.22882362222299e-05,,0.0044347625225782394,0.05999755859375,0.011993408203125,0.0
lama,generic,43,0.5,20832,4516,mouth_center,3932,mixed,0.050371624529361725,0.001739501953125,0.0002593994140625,0.18882440030574799,12.252400849853489,4.041151987621561e-05,0.09780900925397873,0.003070961218327284,0.05999755859375,0.011993408203125,0.011993408203125
lama,generic,43,0.5,20832,4516,upper_image,3932,accurate,0.04221201315522194,0.0042572021484375,0.000335693359375,0.11055651307106018,16.058328650293316,0.0002515085507184267,,,0.05999755859375,0.0,0.0
lama,generic,43,0.5,20832,4516,upper_image,3932,under,0.03371341899037361,0.0032196044921875,0.000152587890625,0.10880525410175323,16.089308614630767,0.0001880839408840984,0.09734398871660233,,0.05999755859375,0.0,0.011993408203125
lama,generic,43,0.5,20832,4516,upper_image,3932,over,0.043949391692876816,0.002716064453125,0.0001220703125,0.13115194439888,14.674847643268798,0.0001792658440535888,,0.006908006500452757,0.05999755859375,0.011993408203125,0.0
