hq_id,identity,partition,family,condition,radius,feather,full_face_lpips,hole_mae,hole_psnr,visible_mae,missed_mae,overcovered_mae,true_fraction,mask_fp_fraction,mask_fn_fraction
26788,1600,tuning,brush,accurate,0,0,0.005230068229138851,0.03320423141121864,26.409213516787638,0.0,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,0,2,0.044707201421260834,0.04660720378160477,22.542495986863898,0.0,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,0,4,0.09044395387172699,0.07084086537361145,18.492762278138578,0.0,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,0,8,0.11470110714435577,0.11527805030345917,15.128152777901844,0.0,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,2,0,0.012142240069806576,0.06705973297357559,18.656383267191707,0.0005384452524594963,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,2,2,0.01208821777254343,0.06705973297357559,18.656383267191707,0.00044727069325745106,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,2,4,0.01665378361940384,0.06958553194999695,18.539610008400636,0.0002532469225116074,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,2,8,0.07474653422832489,0.09690721333026886,16.670374626900493,0.0001266234612558037,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,4,0,0.017765462398529053,0.0796748548746109,17.582422317515906,0.0012864383170381188,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,4,2,0.01749672181904316,0.0796748548746109,17.582422317515906,0.0011999387061223388,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,4,4,0.01688147336244583,0.0796748548746109,17.582422317515906,0.0009881650330498815,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,4,8,0.031096771359443665,0.08553837239742279,17.36457673914281,0.0005399897927418351,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,8,0,0.032889414578676224,0.1065232902765274,14.804585568181372,0.0042155152186751366,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,8,2,0.03273886442184448,0.1065232902765274,14.804585568181372,0.00411442294716835,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,8,4,0.03216802701354027,0.1065232902765274,14.804585568181372,0.0038662394508719444,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,8,8,0.031265683472156525,0.1065232902765274,14.804585568181372,0.0031517695169895887,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,12,0,0.03709188476204872,0.12680302560329437,14.27105646705713,0.007882409729063511,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,12,2,0.03713028132915497,0.12680302560329437,14.27105646705713,0.007785349618643522,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,12,4,0.03682976961135864,0.12680302560329437,14.27105646705713,0.007557590492069721,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,12,8,0.03539267182350159,0.12680302560329437,14.27105646705713,0.006893451791256666,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,16,0,0.05757120996713638,0.12558209896087646,14.923036679862111,0.01267134677618742,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,16,2,0.05728282034397125,0.12558209896087646,14.923036679862111,0.01254776120185852,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,16,4,0.05655848979949951,0.12558209896087646,14.923036679862111,0.012253590859472752,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,16,8,0.055093295872211456,0.12558209896087646,14.923036679862111,0.011508719064295292,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,24,0,0.10423006862401962,0.19038863480091095,11.88708752601202,0.02810853160917759,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,24,2,0.10399214923381805,0.19038863480091095,11.88708752601202,0.027983618900179863,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,24,4,0.10325941443443298,0.19038863480091095,11.88708752601202,0.027679162099957466,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,accurate,24,8,0.10011440515518188,0.19038863480091095,11.88708752601202,0.02686009556055069,,,0.076263427734375,0.0,0.0
26788,1600,tuning,brush,under,0,0,0.15075190365314484,0.31894734501838684,8.348802470920594,0.0,0.31637728214263916,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,0,2,0.15097099542617798,0.3186928629875183,8.35575925699995,0.0,0.31637728214263916,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,0,4,0.15134842693805695,0.31828969717025757,8.367582098851088,0.0,0.31637728214263916,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,0,8,0.1515468955039978,0.3179178237915039,8.378851731091926,0.0,0.31637728214263916,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,2,0,0.1515626460313797,0.31909674406051636,8.339753199480342,0.0,0.31786221265792847,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,2,2,0.15164028108119965,0.31879544258117676,8.349064864065076,0.0,0.3174939751625061,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,2,4,0.15171127021312714,0.31832948327064514,8.362780472098235,0.0,0.3169761896133423,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,2,8,0.15175101161003113,0.3179086446762085,8.376553337648767,0.0,0.31667110323905945,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,4,0,0.15283676981925964,0.3189811706542969,8.337651047925942,0.0,0.31873926520347595,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,4,2,0.15269222855567932,0.31874096393585205,8.345737672017735,0.0,0.31844571232795715,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,4,4,0.152459055185318,0.31828370690345764,8.360211954406351,0.0,0.3178867697715759,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,4,8,0.15233221650123596,0.31769537925720215,8.378492192796722,0.0,0.31714683771133423,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,8,0,0.09873933345079422,0.12998713552951813,12.194832763807907,0.0,0.12558187544345856,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,8,2,0.11292008310556412,0.1393282264471054,12.07204950032818,0.0,0.13699954748153687,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,8,4,0.12900115549564362,0.1554269790649414,11.765018038828474,0.0,0.15667709708213806,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,8,8,0.13424457609653473,0.18342868983745575,11.249642177772927,0.0,0.19090372323989868,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,12,0,0.015337713062763214,0.07728257030248642,17.94378831799089,0.0010330990189686418,0.0765315517783165,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,12,2,0.015342462807893753,0.07728257030248642,17.94378831799089,0.0009464732720516622,0.0765315517783165,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,12,4,0.019804922863841057,0.0783361941576004,17.883284793168116,0.0007459959597326815,0.07781939208507538,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,12,8,0.041410014033317566,0.08893712610006332,17.25043765303821,0.00040554555016569793,0.0907769650220871,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,16,0,0.03340256214141846,0.11073984205722809,14.394943308149625,0.00404469994828105,0.11383523046970367,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,16,2,0.03276829421520233,0.11073984205722809,14.394943308149625,0.003954004961997271,0.11383523046970367,,0.076263427734375,0.0,0.0623931884765625
26788,1600,tuning,brush,under,16,4,0.03260126709938049,0.11073984205722809,14.394943308149625,0.0037077961023896933,0.11383523046970367,,0.076263427734375,0.0,0.0623931884765625
