backbone,variant,training_seed,compositor,threshold,hq_id,identity,location,missing_pixels,condition,full_face_lpips,brier_score,effective_fp_fraction,effective_fn_fraction,hole_mae,hole_psnr,visible_mae,missed_mae,overcovered_mae,true_fraction,mask_fp_fraction,mask_fn_fraction
lama,generic,17,hard,0.65,20832,4516,eye_center,1966,accurate,0.0376301035284996,0.001216784119606018,0.00091552734375,0.0003509521484375,0.16933032870292664,12.053720521627362,4.439056647242978e-05,,,0.029998779296875,0.0,0.0
lama,generic,17,probability_alpha,0.65,20832,4516,eye_center,1966,accurate,0.03703012317419052,0.001216784119606018,0.00091552734375,0.0003509521484375,0.17049747705459595,12.062114975394486,3.422042209422216e-05,,,0.029998779296875,0.0,0.0
lama,generic,17,hard,0.65,20832,4516,eye_center,1966,under,0.04017538204789162,0.0011695341672748327,0.000885009765625,0.0004119873046875,0.18844778835773468,11.393866308326563,4.2570063669700176e-05,0.126377671957016,,0.029998779296875,0.0,0.0059967041015625
lama,generic,17,probability_alpha,0.65,20832,4516,eye_center,1966,under,0.03962042182683945,0.0011695341672748327,0.000885009765625,0.0004119873046875,0.18973499536514282,11.395564664800595,3.284730337327346e-05,0.13274750113487244,,0.029998779296875,0.0,0.0059967041015625
lama,generic,17,hard,0.65,20832,4516,eye_center,1966,over,0.03662645071744919,0.0010491987923160195,0.000732421875,0.0003662109375,0.1764124184846878,11.923495254553181,3.5067936551058665e-05,,0.005493642296642065,0.029998779296875,0.0059967041015625,0.0
lama,generic,17,probability_alpha,0.65,20832,4516,eye_center,1966,over,0.03618929162621498,0.0010491987923160195,0.000732421875,0.0003662109375,0.17763732373714447,11.924540923804104,2.6464644179213792e-05,,0.004157869145274162,0.029998779296875,0.0059967041015625,0.0
lama,generic,17,hard,0.65,20832,4516,eye_center,1966,mixed,0.044512126594781876,0.0011758824111893773,0.0009002685546875,0.000457763671875,0.19659067690372467,11.21090611727717,3.600428317440674e-05,0.13574600219726562,0.005568742286413908,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,generic,17,probability_alpha,0.65,20832,4516,eye_center,1966,mixed,0.04430070519447327,0.0011758824111893773,0.0009002685546875,0.000457763671875,0.1976066678762436,11.223412524052208,2.8783750167349353e-05,0.14090698957443237,0.004474181216210127,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,generic,17,hard,0.65,20832,4516,mouth_center,1966,accurate,0.03206871822476387,0.0008463130798190832,0.0004425048828125,0.0004425048828125,0.25405803322792053,9.723936754197014,1.860152042354457e-05,,,0.029998779296875,0.0,0.0
lama,generic,17,probability_alpha,0.65,20832,4516,mouth_center,1966,accurate,0.03183942288160324,0.0008463130798190832,0.0004425048828125,0.0004425048828125,0.25443047285079956,9.73651863449703,1.3818806110066362e-05,,,0.029998779296875,0.0,0.0
lama,generic,17,hard,0.65,20832,4516,mouth_center,1966,under,0.03347891941666603,0.0009427073528058827,0.0005035400390625,0.0005950927734375,0.26147088408470154,9.580723955328551,1.783272273314651e-05,0.25241732597351074,,0.029998779296875,0.0,0.0059967041015625
lama,generic,17,probability_alpha,0.65,20832,4516,mouth_center,1966,under,0.0332077294588089,0.0009427073528058827,0.0005035400390625,0.0005950927734375,0.2615632116794586,9.597284783432697,1.3131591913406737e-05,0.2526561915874481,,0.029998779296875,0.0,0.0059967041015625
lama,generic,17,hard,0.65,20832,4516,mouth_center,1966,over,0.03494599834084511,0.0008438246441073716,0.0003814697265625,0.0006256103515625,0.27955612540245056,9.096400847134298,1.129155407397775e-05,,0.0017133346991613507,0.029998779296875,0.0059967041015625,0.0
lama,generic,17,probability_alpha,0.65,20832,4516,mouth_center,1966,over,0.03457385674118996,0.0008438246441073716,0.0003814697265625,0.0006256103515625,0.27972206473350525,9.11221903728144,8.572659680794459e-06,,0.0013045930536463857,0.029998779296875,0.0059967041015625,0.0
lama,generic,17,hard,0.65,20832,4516,mouth_center,1966,mixed,0.03578457981348038,0.0008924636640585959,0.0004119873046875,0.0006561279296875,0.27832478284835815,9.16829829007186,1.8895552784670144e-05,0.26878732442855835,0.00295311794616282,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,generic,17,probability_alpha,0.65,20832,4516,mouth_center,1966,mixed,0.03534519672393799,0.0008924636640585959,0.0004119873046875,0.0006561279296875,0.2781606912612915,9.19128548353485,1.3921307072450873e-05,0.2680128216743469,0.0021771325264126062,0.029998779296875,0.0059967041015625,0.0059967041015625
