backbone,radius,feather,hq_id,identity,location,missing_pixels,condition,full_face_lpips,hole_mae,hole_psnr,visible_mae,missed_mae,overcovered_mae,true_fraction,mask_fp_fraction,mask_fn_fraction
lama,8,0,20832,4516,eye_center,1966,accurate,0.01752566546201706,0.11165090650320053,16.78605414768448,0.002176594687625766,,,0.029998779296875,0.0,0.0
lama,8,0,20832,4516,eye_center,1966,under,0.012790992856025696,0.1229972243309021,16.065370514880215,0.0013371572131291032,0.1179114282131195,,0.029998779296875,0.0,0.0059967041015625
lama,8,0,20832,4516,eye_center,1966,over,0.01966031640768051,0.12328564375638962,16.300724243310135,0.0028931880369782448,,0.10083521902561188,0.029998779296875,0.0059967041015625,0.0
lama,8,0,20832,4516,eye_center,1966,mixed,0.01966031640768051,0.12328564375638962,16.300724243310135,0.0028931880369782448,0.11353369802236557,0.10083521902561188,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,8,0,20832,4516,mouth_center,1966,accurate,0.027735482901334763,0.17603743076324463,13.767892379524191,0.002691796747967601,,,0.029998779296875,0.0,0.0
lama,8,0,20832,4516,mouth_center,1966,under,0.02024236135184765,0.14147597551345825,15.114812242610032,0.0016088254051283002,0.12794440984725952,,0.029998779296875,0.0,0.0059967041015625
lama,8,0,20832,4516,mouth_center,1966,over,0.029032893478870392,0.20559324324131012,12.589889123820006,0.004082776140421629,,0.1722201108932495,0.029998779296875,0.0059967041015625,0.0
lama,8,0,20832,4516,mouth_center,1966,mixed,0.029032893478870392,0.20559324324131012,12.589889123820006,0.004082776140421629,0.18891556560993195,0.1722201108932495,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,8,0,20832,4516,upper_image,1966,accurate,0.012326777912676334,0.09247799962759018,18.595704580479143,0.001674538478255272,,,0.029998779296875,0.0,0.0
lama,8,0,20832,4516,upper_image,1966,under,0.013694951310753822,0.08019942045211792,18.86744841969399,0.0011269459500908852,0.07019833475351334,,0.029998779296875,0.0,0.0059967041015625
lama,8,0,20832,4516,upper_image,1966,over,0.014889487996697426,0.11958727240562439,17.0754528421701,0.002362623577937484,,0.09483551979064941,0.029998779296875,0.0059967041015625,0.0
lama,8,0,20832,4516,upper_image,1966,mixed,0.014889487996697426,0.11958727240562439,17.0754528421701,0.002362623577937484,0.09874161332845688,0.09483551979064941,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,8,0,20832,4516,eye_center,3932,accurate,0.042947135865688324,0.13422434031963348,15.289409750374892,0.0021648926194757223,,,0.05999755859375,0.0,0.0
lama,8,0,20832,4516,eye_center,3932,under,0.03179570287466049,0.10600737482309341,16.90228870698883,0.0011012209579348564,0.08837444335222244,,0.05999755859375,0.0,0.011993408203125
lama,8,0,20832,4516,eye_center,3932,over,0.05128251761198044,0.1579863727092743,13.986965066974108,0.0050355917774140835,,0.14242121577262878,0.05999755859375,0.011993408203125,0.0
lama,8,0,20832,4516,eye_center,3932,mixed,0.05130978301167488,0.15766622126102448,14.017572910726223,0.00505265174433589,0.11664427816867828,0.1424805372953415,0.05999755859375,0.011993408203125,0.011993408203125
lama,8,0,20832,4516,mouth_center,3932,accurate,0.03290289267897606,0.1626262664794922,14.368861276053597,0.002158256247639656,,,0.05999755859375,0.0,0.0
lama,8,0,20832,4516,mouth_center,3932,under,0.032253000885248184,0.18166819214820862,13.514786967467371,0.001170157571323216,0.10150208324193954,,0.05999755859375,0.0,0.011993408203125
lama,8,0,20832,4516,mouth_center,3932,over,0.038715116679668427,0.14152002334594727,15.401208015152063,0.003669623751193285,,0.07440730184316635,0.05999755859375,0.011993408203125,0.0
lama,8,0,20832,4516,mouth_center,3932,mixed,0.03878991678357124,0.14169879257678986,15.394212685395933,0.0036614590790122747,0.09078843891620636,0.07423699647188187,0.05999755859375,0.011993408203125,0.011993408203125
lama,8,0,20832,4516,upper_image,3932,accurate,0.036638401448726654,0.08406227082014084,18.359306867341918,0.0025068006943911314,,,0.05999755859375,0.0,0.0
lama,8,0,20832,4516,upper_image,3932,under,0.028050601482391357,0.15109708905220032,14.47522743001439,0.0012317657237872481,0.08714543282985687,,0.05999755859375,0.0,0.011993408203125
lama,8,0,20832,4516,upper_image,3932,over,0.04172833263874054,0.11155974119901657,16.47232655927089,0.004044033121317625,,0.10475768148899078,0.05999755859375,0.011993408203125,0.0
lama,8,0,20832,4516,upper_image,3932,mixed,0.04122413322329521,0.1084030494093895,16.805290644245694,0.004022653214633465,0.11048643290996552,0.1040215939283371,0.05999755859375,0.011993408203125,0.011993408203125
lama,8,0,20832,4516,eye_center,6554,accurate,0.07407865673303604,0.15049058198928833,13.84298942313068,0.0028967205435037613,,,0.100006103515625,0.0,0.0
lama,8,0,20832,4516,eye_center,6554,under,0.0592118501663208,0.1363338828086853,14.601358230343838,0.001157695078290999,0.07155385613441467,,0.100006103515625,0.0,0.0200042724609375
lama,8,0,20832,4516,eye_center,6554,over,0.07429856061935425,0.15297019481658936,13.824243617248955,0.00453000795096159,,0.09420743584632874,0.100006103515625,0.0200042724609375,0.0
lama,8,0,20832,4516,eye_center,6554,mixed,0.0745299756526947,0.15273576974868774,13.829514332466255,0.004557732958346605,0.10053649544715881,0.09469813108444214,0.100006103515625,0.0200042724609375,0.0200042724609375
lama,8,0,20832,4516,mouth_center,6554,accurate,0.04101160168647766,0.10280504077672958,17.88220075778043,0.0033583571203052998,,,0.100006103515625,0.0,0.0
lama,8,0,20832,4516,mouth_center,6554,under,0.03867079317569733,0.09615898877382278,18.02204075871503,0.001342799048870802,0.07359267771244049,,0.100006103515625,0.0,0.0200042724609375
lama,8,0,20832,4516,mouth_center,6554,over,0.051312826573848724,0.1255878508090973,16.335713960511743,0.0046753850765526295,,0.08829759061336517,0.100006103515625,0.0200042724609375,0.0
lama,8,0,20832,4516,mouth_center,6554,mixed,0.05128224194049835,0.12540148198604584,16.353040357211434,0.0046892608515918255,0.11442295461893082,0.08870943635702133,0.100006103515625,0.0200042724609375,0.0200042724609375
lama,8,0,20832,4516,upper_image,6554,accurate,0.053229544311761856,0.12057293951511383,15.777139181132704,0.0032948742154985666,,,0.100006103515625,0.0,0.0
lama,8,0,20832,4516,upper_image,6554,under,0.043717265129089355,0.15917640924453735,13.248555013535032,0.0018082219175994396,0.08552796393632889,,0.100006103515625,0.0,0.0200042724609375
lama,8,0,20832,4516,upper_image,6554,over,0.07099860906600952,0.14803586900234222,14.391453942362315,0.00662540178745985,,0.0915006697177887,0.100006103515625,0.0200042724609375,0.0
lama,8,0,20832,4516,upper_image,6554,mixed,0.07117487490177155,0.14462628960609436,14.580953446882269,0.0065723382867872715,0.08971977233886719,0.09109322726726532,0.100006103515625,0.0200042724609375,0.0200042724609375
lama,8,0,1369,4064,eye_center,1966,accurate,0.016343044117093086,0.10594318807125092,17.20374913825586,0.0016418640734627843,,,0.029998779296875,0.0,0.0
lama,8,0,1369,4064,eye_center,1966,under,0.015485644340515137,0.10431690514087677,16.962732396382535,0.0011520549887791276,0.10773757100105286,,0.029998779296875,0.0,0.0059967041015625
lama,8,0,1369,4064,eye_center,1966,over,0.0277741439640522,0.1226593554019928,15.551220528770086,0.0025604136753827333,,0.08990783989429474,0.029998779296875,0.0059967041015625,0.0
lama,8,0,1369,4064,eye_center,1966,mixed,0.027994338423013687,0.1225735992193222,15.56544129357206,0.0025673862546682358,0.10297756642103195,0.09007109701633453,0.029998779296875,0.0059967041015625,0.0059967041015625
lama,8,0,1369,4064,mouth_center,1966,accurate,0.019976725801825523,0.10634221881628036,16.987242073608165,0.0011804455425590277,,,0.029998779296875,0.0,0.0
lama,8,0,1369,4064,mouth_center,1966,under,0.01715811900794506,0.10945840179920197,16.710819114309604,0.0008917186642065644,0.061894189566373825,,0.029998779296875,0.0,0.0059967041015625
