identity,case_id,scale,strength,compositor,full_face_lpips,hole_mae,visible_mae,inner_boundary_mae,inference_seconds,output_sha256
620,identity_620,0.0,1.0,hard,0.05924049764871597,0.18926942348480225,0.0,0.10011731088161469,17.74260499999218,7005f0d6331cb24bc9a5ba3c2bdca59c1812a75bf9ed6abbedd05bc91cbdc3bc
620,identity_620,0.0,1.0,poisson,0.03544416278600693,0.11794127523899078,0.0,0.019901093095541,17.74260499999218,81ef0d351c48a919c3ed3e8b92af729faee8a61ca9c9cbc73fb62b8855933163
620,identity_620,0.0,0.99,hard,0.05189847946166992,0.10869727283716202,0.0,0.07288872450590134,10.644552300000214,72f5b9998c5609ebc32176b003be1abb6faab6df75e61a9ed62919e2513c6857
620,identity_620,0.0,0.99,poisson,0.03176470845937729,0.0763394758105278,0.0,0.01766066625714302,10.644552300000214,e6519c1c9c3cd9c973a9c2c95d020ebddc74f18969ab4cef96dd3d3a77778382
620,identity_620,0.8,1.0,hard,0.050178952515125275,0.14513929188251495,0.0,0.10145077109336853,11.3634999999922,2b75ebad68f79eecb65521a0987965a09b07c3f635903cb8a29a7b779006559c
620,identity_620,0.8,1.0,poisson,0.028195820748806,0.07728671282529831,0.0,0.017692571505904198,11.3634999999922,eb7278d3654ec94fae11c1b436c4695c6077f75ca8a4bdcf22f9d6aa489f4c49
620,identity_620,0.8,0.99,hard,0.05063144862651825,0.09831513464450836,0.0,0.07188510149717331,10.999322399991797,2b8fb87b66c1adfe8fcca2cd341c18fe2e6ed534c38a22d12d34d392a6b22026
620,identity_620,0.8,0.99,poisson,0.03427878022193909,0.07447639107704163,0.0,0.017616093158721924,10.999322399991797,5af6381bdce8040b0b08262c6a29950a9b3d85639ab831a3fe0370ff91fa2fd8
4423,identity_4423,0.0,1.0,hard,0.02125738188624382,0.1897997111082077,0.0,0.19916918873786926,11.137587700010045,ec0498f50aecb7dd71c64fdb558341e1e980c4358ac6a8b3ae087addecd6fd9d
4423,identity_4423,0.0,1.0,poisson,0.010696149431169033,0.060547202825546265,0.0,0.0665174350142479,11.137587700010045,2634f2f6fbf9caef1415468ae12305f60a48ab8843c667d332285ed04cfa02e8
4423,identity_4423,0.0,0.99,hard,0.016175173223018646,0.1317708045244217,0.0,0.15471142530441284,11.09409460000461,aafabdc6cac18ba1638bd73a415206d83a33fc593b207cd5e289d5d6b5ce92a4
4423,identity_4423,0.0,0.99,poisson,0.010917149484157562,0.07144805043935776,0.0,0.07067617774009705,11.09409460000461,36cc6849e455b7dd5f503cb01bf0e2623fe2c148b7d12492273f93fc9c5b1caf
4423,identity_4423,0.8,1.0,hard,0.017495205625891685,0.16718968749046326,0.0,0.18504394590854645,11.589391999994405,49696600893058a6f151e7bff73e92976db9586ad6c6344a88097db94b353ba8
4423,identity_4423,0.8,1.0,poisson,0.009913578629493713,0.07000771909952164,0.0,0.06724564731121063,11.589391999994405,0a5e5779871460fcb6fea4bacf2100b018027ec05e28789bc7c143848f62d33e
4423,identity_4423,0.8,0.99,hard,0.01452612318098545,0.11197637766599655,0.0,0.13499164581298828,11.349285100004636,6f05509e80149c0db4f6a582239aa845790bf4eaf86cd2e063203a1081ce8f34
4423,identity_4423,0.8,0.99,poisson,0.010542799718677998,0.07721817493438721,0.0,0.06955021619796753,11.349285100004636,5d2a5bb926f0314f2f16b8126ac1503dae6094bda189235bccc1ee23e981055b
4017,identity_4017,0.0,1.0,hard,0.06541620939970016,0.16810426115989685,0.0,0.13612033426761627,11.897116600011941,bf4cf0fccaf0cfab55e227b7132bed0bdeb7ca5502438d82188afec58d6cc460
4017,identity_4017,0.0,1.0,poisson,0.0447235070168972,0.1017991453409195,0.0,0.04867158830165863,11.897116600011941,87cd494a8c77941016894f92c3c550bce4a8ff90b4921a9cf66e19b4cebb8c4c
4017,identity_4017,0.0,0.99,hard,0.04984777048230171,0.12465731054544449,0.0,0.08585091680288315,11.248841200009338,2d75e03d5952ef3fae073848a03a6c1efff4833538000fa1354dd82aa8d98d7e
4017,identity_4017,0.0,0.99,poisson,0.03636116534471512,0.09108754992485046,0.0,0.035412147641181946,11.248841200009338,50e0927490125d84a7d02a9d34df3c63603dee401c4eb0e82a898160de79b718
4017,identity_4017,0.8,1.0,hard,0.06492821127176285,0.16735446453094482,0.0,0.1409800797700882,11.130216800011112,61aab8925e9fdacf6d47073d6557cd36e7c882234567776f7fb8149e53f544f0
4017,identity_4017,0.8,1.0,poisson,0.04381968826055527,0.10311663150787354,0.0,0.04975251108407974,11.130216800011112,eb72a283240ae882759178dbaa4a231eb8f36dcab64f73485b7872364fd4736a
4017,identity_4017,0.8,0.99,hard,0.05285555124282837,0.12923568487167358,0.0,0.09499657899141312,10.349786899998435,13fb85faa9564f7cd08916e079644e7bdfb37078edc04b672519a7b33db326fe
4017,identity_4017,0.8,0.99,poisson,0.03823285549879074,0.09320861101150513,0.0,0.038297105580568314,10.349786899998435,dcb19adafe99b433d94066c48648cd976b6dcb12b412e16d96d41a1eaaabe777
1293,identity_1293,0.0,1.0,hard,0.06636988371610641,0.25350335240364075,0.0,0.21525020897388458,10.110863800000516,9cfc4d179b7ba5393ff66f3003feb1161f98c0edad1c0aa532fce4e19ed94480
1293,identity_1293,0.0,1.0,poisson,0.027194129303097725,0.07075562328100204,0.0,0.021788712590932846,10.110863800000516,d6ae97d89dd5e004d0c86b8a04b27222454bed28efd98102f260a7d7ea587b23
1293,identity_1293,0.0,0.99,hard,0.05804956704378128,0.14442844688892365,0.0,0.1187618151307106,10.669750000000931,3f483a7a6b9b148ee43844a8cfd5ef2b9b967f8b0cbd99bccddde438ded04c45
1293,identity_1293,0.0,0.99,poisson,0.031557854264974594,0.06911665201187134,0.0,0.01933453045785427,10.669750000000931,fe265ead59548619a6f9a185b13e250484e9de604278ce6143cd9ca1c460e386
1293,identity_1293,0.8,1.0,hard,0.06669926643371582,0.2550457715988159,0.0,0.2161453813314438,10.539032299988321,47e3f7372af921a5e923a1066585f409484b2d157358ff8d7729eed4685ab54a
1293,identity_1293,0.8,1.0,poisson,0.030712950974702835,0.0805254578590393,0.0,0.023793000727891922,10.539032299988321,13f2dd090e1a107594e12688c2f3e8beeb9cc9d63e81c3a2ae655a8f2f8875bb
