hq_id,identity,condition,method,gpu_forward_seconds,hole_mae,hole_psnr,visible_mae,missed_mae,overcovered_mae,true_fraction,mask_fp_fraction,mask_fn_fraction
16194,1089,accurate,input_unchanged,0.0,0.2690242826938629,9.483370876914003,0.0,,,0.08660888671875,0.0,0.0
16194,1089,accurate,exact_mask_diagnostic,0.02415659998951014,0.0564919076859951,21.174763694289847,0.0,,,0.08660888671875,0.0,0.0
16194,1089,accurate,supplied_mask,0.02415659998951014,0.0564919076859951,21.174763694289847,0.0,,,0.08660888671875,0.0,0.0
16194,1089,accurate,dilate_4px,0.020748199996887706,0.09184268116950989,16.966486356752014,0.0010302417213097215,,,0.08660888671875,0.0,0.0
16194,1089,under_4px,input_unchanged,0.0,0.2690242826938629,9.483370876914003,0.0,0.2370268553495407,,0.08660888671875,0.0,0.017578125
16194,1089,under_4px,exact_mask_diagnostic,0.02415659998951014,0.0564919076859951,21.174763694289847,0.0,0.04356076940894127,,0.08660888671875,0.0,0.017578125
16194,1089,under_4px,supplied_mask,0.02507309999782592,0.2441364973783493,10.12308607556173,0.0,0.2370268553495407,,0.08660888671875,0.0,0.017578125
16194,1089,under_4px,dilate_4px,0.03349129999696743,0.0564919076859951,21.174763694289847,0.0,0.04356076940894127,,0.08660888671875,0.0,0.017578125
16194,1089,over_4px,input_unchanged,0.0,0.2690242826938629,9.483370876914003,0.0,,0.0,0.08660888671875,0.01953125,0.0
16194,1089,over_4px,exact_mask_diagnostic,0.02415659998951014,0.0564919076859951,21.174763694289847,0.0,,0.0,0.08660888671875,0.01953125,0.0
16194,1089,over_4px,supplied_mask,0.021094600000651553,0.09184268116950989,16.966486356752014,0.0010302417213097215,,0.048179902136325836,0.08660888671875,0.01953125,0.0
16194,1089,over_4px,dilate_4px,0.022817899996880442,0.07786159217357635,18.305597488330786,0.0024486584588885307,,0.07333563268184662,0.08660888671875,0.01953125,0.0
16194,1089,shift_8px,input_unchanged,0.0,0.2690242826938629,9.483370876914003,0.0,0.24305367469787598,0.0,0.08660888671875,0.010498046875,0.010498046875
16194,1089,shift_8px,exact_mask_diagnostic,0.02415659998951014,0.0564919076859951,21.174763694289847,0.0,0.061172112822532654,0.0,0.08660888671875,0.010498046875,0.010498046875
16194,1089,shift_8px,supplied_mask,0.02267089999804739,0.1352258026599884,13.894501916460257,0.0004482085641939193,0.24305367469787598,0.038996752351522446,0.08660888671875,0.010498046875,0.010498046875
16194,1089,shift_8px,dilate_4px,0.02257659999304451,0.11980751901865005,15.295681425756351,0.002944623352959752,0.22983421385288239,0.14630241692066193,0.08660888671875,0.010498046875,0.010498046875
13068,3547,accurate,input_unchanged,0.0,0.2489376664161682,10.33748365148779,0.0,,,0.10638427734375,0.0,0.0
13068,3547,accurate,exact_mask_diagnostic,0.022470300013083033,0.07956711947917938,18.334445813339684,0.0,,,0.10638427734375,0.0,0.0
13068,3547,accurate,supplied_mask,0.022470300013083033,0.07956711947917938,18.334445813339684,0.0,,,0.10638427734375,0.0,0.0
13068,3547,accurate,dilate_4px,0.022564500002772547,0.08977635204792023,17.88617505468556,0.0010621390538290143,,,0.10638427734375,0.0,0.0
13068,3547,under_4px,input_unchanged,0.0,0.2489376664161682,10.33748365148779,0.0,0.24389465153217316,,0.10638427734375,0.0,0.0194091796875
13068,3547,under_4px,exact_mask_diagnostic,0.022470300013083033,0.07956711947917938,18.334445813339684,0.0,0.03657596930861473,,0.10638427734375,0.0,0.0194091796875
13068,3547,under_4px,supplied_mask,0.022221899998839945,0.2558973729610443,9.804119363712045,0.0,0.24389465153217316,,0.10638427734375,0.0,0.0194091796875
13068,3547,under_4px,dilate_4px,0.022560600002179854,0.07956711947917938,18.334445813339684,0.0,0.03657596930861473,,0.10638427734375,0.0,0.0194091796875
13068,3547,over_4px,input_unchanged,0.0,0.2489376664161682,10.33748365148779,0.0,,0.0,0.10638427734375,0.0213623046875,0.0
13068,3547,over_4px,exact_mask_diagnostic,0.022470300013083033,0.07956711947917938,18.334445813339684,0.0,,0.0,0.10638427734375,0.0213623046875,0.0
13068,3547,over_4px,supplied_mask,0.023972700000740588,0.08977635204792023,17.88617505468556,0.0010621390538290143,,0.04443079233169556,0.10638427734375,0.0213623046875,0.0
13068,3547,over_4px,dilate_4px,0.026601200006552972,0.08116559684276581,18.811808671922236,0.0026029448490589857,,0.058760691434144974,0.10638427734375,0.0213623046875,0.0
13068,3547,shift_8px,input_unchanged,0.0,0.2489376664161682,10.33748365148779,0.0,0.21558980643749237,0.0,0.10638427734375,0.0101318359375,0.0101318359375
13068,3547,shift_8px,exact_mask_diagnostic,0.022470300013083033,0.07956711947917938,18.334445813339684,0.0,0.05951835587620735,0.0,0.10638427734375,0.0101318359375,0.0101318359375
13068,3547,shift_8px,supplied_mask,0.021929099995759316,0.15874579548835754,13.683855002000655,0.000626188877504319,0.21558980643749237,0.055229105055332184,0.10638427734375,0.0101318359375,0.0101318359375
13068,3547,shift_8px,dilate_4px,0.02604349999455735,0.12880124151706696,15.639658802106247,0.0017129277111962438,0.21603764593601227,0.07054565846920013,0.10638427734375,0.0101318359375,0.0101318359375
4322,480,accurate,input_unchanged,0.0,0.2424054592847824,10.70155872499985,0.0,,,0.1676788330078125,0.0,0.0
4322,480,accurate,exact_mask_diagnostic,0.02653420000569895,0.07741802930831909,19.016561641298836,0.0,,,0.1676788330078125,0.0,0.0
4322,480,accurate,supplied_mask,0.02653420000569895,0.07741802930831909,19.016561641298836,0.0,,,0.1676788330078125,0.0,0.0
4322,480,accurate,dilate_4px,0.023702299993601628,0.09566719084978104,17.467037861569143,0.0014265627833083272,,,0.1676788330078125,0.0,0.0
4322,480,under_4px,input_unchanged,0.0,0.2424054592847824,10.70155872499985,0.0,0.24199184775352478,,0.1676788330078125,0.0,0.024658203125
4322,480,under_4px,exact_mask_diagnostic,0.02653420000569895,0.07741802930831909,19.016561641298836,0.0,0.038036346435546875,,0.1676788330078125,0.0,0.024658203125
4322,480,under_4px,supplied_mask,0.020370099999126978,0.17941638827323914,13.102898291058523,0.0,0.24199184775352478,,0.1676788330078125,0.0,0.024658203125
4322,480,under_4px,dilate_4px,0.024169299998902716,0.07741802930831909,19.016561641298836,0.0,0.038036346435546875,,0.1676788330078125,0.0,0.024658203125
4322,480,over_4px,input_unchanged,0.0,0.2424054592847824,10.70155872499985,0.0,,0.0,0.1676788330078125,0.026611328125,0.0
4322,480,over_4px,exact_mask_diagnostic,0.02653420000569895,0.07741802930831909,19.016561641298836,0.0,,0.0,0.1676788330078125,0.026611328125,0.0
4322,480,over_4px,supplied_mask,0.021974500006763265,0.09566719084978104,17.467037861569143,0.0014265627833083272,,0.04461853206157684,0.1676788330078125,0.026611328125,0.0
4322,480,over_4px,dilate_4px,0.025334600009955466,0.09230887144804001,17.709397901236677,0.003920037765055895,,0.07890580594539642,0.1676788330078125,0.026611328125,0.0
4322,480,shift_8px,input_unchanged,0.0,0.2424054592847824,10.70155872499985,0.0,0.23249652981758118,0.0,0.1676788330078125,0.0120849609375,0.0120849609375
4322,480,shift_8px,exact_mask_diagnostic,0.02653420000569895,0.07741802930831909,19.016561641298836,0.0,0.05537205934524536,0.0,0.1676788330078125,0.0120849609375,0.0120849609375
4322,480,shift_8px,supplied_mask,0.02146309999807272,0.1170341894030571,15.540528573988055,0.0005855243070982397,0.23249652981758118,0.04032650589942932,0.1676788330078125,0.0120849609375,0.0120849609375
4322,480,shift_8px,dilate_4px,0.023801999996067025,0.12263233959674835,15.630889140699525,0.002772239036858082,0.20288480818271637,0.10009374469518661,0.1676788330078125,0.0120849609375,0.0120849609375
7200,780,accurate,input_unchanged,0.0,0.19922034442424774,12.031687321929914,0.0,,,0.148895263671875,0.0,0.0
7200,780,accurate,exact_mask_diagnostic,0.022308800005703233,0.07345255464315414,19.322511955958376,0.0,,,0.148895263671875,0.0,0.0
7200,780,accurate,supplied_mask,0.022308800005703233,0.07345255464315414,19.322511955958376,0.0,,,0.148895263671875,0.0,0.0
7200,780,accurate,dilate_4px,0.021802200004458427,0.07106883823871613,19.584999992881972,0.0011960100382566452,,,0.148895263671875,0.0,0.0
7200,780,under_4px,input_unchanged,0.0,0.19922034442424774,12.031687321929914,0.0,0.22871077060699463,,0.148895263671875,0.0,0.0235595703125
7200,780,under_4px,exact_mask_diagnostic,0.022308800005703233,0.07345255464315414,19.322511955958376,0.0,0.040293045341968536,,0.148895263671875,0.0,0.0235595703125
7200,780,under_4px,supplied_mask,0.021529300007387064,0.17489832639694214,12.911501100947957,0.0,0.22871077060699463,,0.148895263671875,0.0,0.0235595703125
7200,780,under_4px,dilate_4px,0.024706299998797476,0.07345255464315414,19.322511955958376,0.0,0.040293045341968536,,0.148895263671875,0.0,0.0235595703125
7200,780,over_4px,input_unchanged,0.0,0.19922034442424774,12.031687321929914,0.0,,0.0,0.148895263671875,0.0255126953125,0.0
7200,780,over_4px,exact_mask_diagnostic,0.022308800005703233,0.07345255464315414,19.322511955958376,0.0,,0.0,0.148895263671875,0.0255126953125,0.0
7200,780,over_4px,supplied_mask,0.021726699997088872,0.07106883823871613,19.584999992881972,0.0011960100382566452,,0.03989895060658455,0.148895263671875,0.0255126953125,0.0
7200,780,over_4px,dilate_4px,0.022614099987549707,0.09195144474506378,17.514488494430257,0.0037569657433778048,,0.08439986407756805,0.148895263671875,0.0255126953125,0.0
7200,780,shift_8px,input_unchanged,0.0,0.19922034442424774,12.031687321929914,0.0,0.12664195895195007,0.0,0.148895263671875,0.010009765625,0.010009765625
7200,780,shift_8px,exact_mask_diagnostic,0.022308800005703233,0.07345255464315414,19.322511955958376,0.0,0.03575757518410683,0.0,0.148895263671875,0.010009765625,0.010009765625
7200,780,shift_8px,supplied_mask,0.02192710000963416,0.08165595680475235,18.710594338349694,0.0002522817230783403,0.12664195895195007,0.021450866013765335,0.148895263671875,0.010009765625,0.010009765625
7200,780,shift_8px,dilate_4px,0.029388000009930693,0.08330527693033218,18.573057894046464,0.0013113910099491477,0.11267395317554474,0.021560993045568466,0.148895263671875,0.010009765625,0.010009765625
22826,2723,accurate,input_unchanged,0.0,0.26473307609558105,9.583959567542887,0.0,,,0.141632080078125,0.0,0.0
22826,2723,accurate,exact_mask_diagnostic,0.022196999998413958,0.14946116507053375,13.669811547743683,0.0,,,0.141632080078125,0.0,0.0
22826,2723,accurate,supplied_mask,0.022196999998413958,0.14946116507053375,13.669811547743683,0.0,,,0.141632080078125,0.0,0.0
22826,2723,accurate,dilate_4px,0.02296580000256654,0.16035614907741547,13.312240334346107,0.000835910439491272,,,0.141632080078125,0.0,0.0
22826,2723,under_4px,input_unchanged,0.0,0.26473307609558105,9.583959567542887,0.0,0.27903640270233154,,0.141632080078125,0.0,0.0225830078125
